OID_,OID1,Id,latitude,longitude,NLCD_mean,RASTERVALU
1,,0,39.3174019,-105.7200012,0.0000000,0.3389662
2,,0,39.3174019,-105.6169968,0.0000000,0.0421007
3,,0,39.3174019,-105.5139999,0.0000000,0.0000000
4,,0,39.3174019,-105.4110031,0.0000000,0.0314107
5,,0,39.3174019,-105.3079987,0.0000000,0.0000000
6,,0,39.3174019,-105.2050018,0.0000000,0.6862374
7,,0,39.3174019,-105.1019974,0.0000000,3.4043689
8,,0,39.3174019,-104.9990005,0.0000000,7.0934916
9,,0,39.3174019,-104.8960037,0.0000000,0.0000000
10,,0,39.3174019,-104.7929993,0.0000000,6.2843513
11,,0,39.3174019,-104.6900024,0.0000000,34.7599792
12,,0,39.3174019,-104.5859985,0.0000000,6.6720366
13,,0,39.3174019,-104.4830017,0.0000000,7.1480684
14,,0,39.3174019,-104.3799973,0.0000000,1.3605413
15,,0,39.4205017,-105.7200012,0.0000000,0.9727796
16,,0,39.4205017,-105.6169968,0.0000000,0.9727796
17,,0,39.4205017,-105.5139999,0.0000000,3.7133002
18,,0,39.4205017,-105.4110031,0.0000000,102.0373688
19,,0,39.4205017,-105.3079987,0.0000000,3.1741028
20,,0,39.4205017,-105.2050018,0.0000000,1.4302880
21,,0,39.4205017,-105.1019974,0.0000000,0.2371556
22,,0,39.4205017,-104.9990005,0.0000000,41.4937172
23,,0,39.4205017,-104.8960037,0.8888889,204.0354462
24,,0,39.4205017,-104.7929993,0.3333333,8.5913486
25,,0,39.4205017,-104.6900024,0.1111111,43.4997978
26,,0,39.4205017,-104.5859985,0.0000000,22.6867256
27,,0,39.4205017,-104.4830017,0.0000000,2.9655039
28,,0,39.4205017,-104.3799973,0.0000000,1.7291036
29,,0,39.5236015,-105.7200012,0.0000000,0.0508174
30,,0,39.5236015,-105.6169968,0.0000000,1.1766260
31,,0,39.5236015,-105.5139999,0.1111111,5.9460878
32,,0,39.5236015,-105.4110031,0.0000000,8.5562677
33,,0,39.5236015,-105.3079987,0.0000000,27.6438923
34,,0,39.5236015,-105.2050018,0.0000000,17.2984123
35,,0,39.5236015,-105.1019974,0.0000000,0.8674660
36,,0,39.5236015,-104.9990005,0.8888889,184.5049896
37,,0,39.5236015,-104.8960037,0.7777778,53.4640198
38,,0,39.5236015,-104.7929993,1.3333334,4151.9814453
39,,0,39.5236015,-104.6900024,0.1111111,130.4205475
40,,0,39.5236015,-104.5859985,0.2222222,16.4165421
41,,0,39.5236015,-104.4830017,0.2222222,14.4260406
42,,0,39.5236015,-104.3799973,0.0000000,2.2320545
43,,0,39.6265984,-105.7200012,0.0000000,0.0153344
44,,0,39.6265984,-105.6169968,0.0000000,0.2529538
45,,0,39.6265984,-105.5139999,0.0000000,0.0479468
46,,0,39.6265984,-105.4110031,0.0000000,30.7684917
47,,0,39.6265984,-105.3079987,0.1111111,124.4125748
48,,0,39.6265984,-105.2050018,0.0000000,0.0721935
49,,0,39.6265984,-105.1019974,1.1111112,2516.5808105
50,,0,39.6265984,-104.9990005,1.5555556,2232.8278809
51,,0,39.6265984,-104.8960037,1.5555556,1279.9427490
52,,0,39.6265984,-104.7929993,1.3333334,1627.0960693
53,,0,39.6265984,-104.6900024,0.7777778,0.0000000
54,,0,39.6265984,-104.5859985,0.0000000,0.0536104
55,,0,39.6265984,-104.4830017,0.0000000,1.3062487
56,,0,39.6265984,-104.3799973,0.0000000,0.9815995
57,,0,39.7296982,-105.7200012,0.0000000,0.2155947
58,,0,39.7296982,-105.6169968,0.0000000,0.2518002
59,,0,39.7296982,-105.5139999,0.0000000,8.9915905
60,,0,39.7296982,-105.4110031,0.0000000,8.0843916
61,,0,39.7296982,-105.3079987,0.0000000,31.4921303
62,,0,39.7296982,-105.2050018,1.2222222,1365.7003174
63,,0,39.7296982,-105.1019974,1.2222222,659.6049805
64,,0,39.7296982,-104.9990005,1.8888888,2410.2143555
65,,0,39.7296982,-104.8960037,1.1111112,2759.1896973
66,,0,39.7296982,-104.7929993,1.6666666,2628.2165527
67,,0,39.7296982,-104.6900024,0.5555556,28.0137253
68,,0,39.7296982,-104.5859985,0.2222222,10.0641184
69,,0,39.7296982,-104.4830017,0.0000000,0.0000000
70,,0,39.7296982,-104.3799973,0.0000000,12.8841381
71,,0,39.8328018,-105.7200012,0.0000000,0.0000000
72,,0,39.8328018,-105.6169968,0.0000000,0.2239594
73,,0,39.8328018,-105.5139999,0.0000000,91.4875870
74,,0,39.8328018,-105.4110031,0.0000000,10.5608168
75,,0,39.8328018,-105.3079987,0.0000000,5.5981483
76,,0,39.8328018,-105.2050018,0.3333333,88.2040787
77,,0,39.8328018,-105.1019974,1.0000000,1173.4892578
78,,0,39.8328018,-104.9990005,1.7777778,3386.9089355
79,,0,39.8328018,-104.8960037,0.6666667,0.0000000
80,,0,39.8328018,-104.7929993,0.1111111,0.0000000
81,,0,39.8328018,-104.6900024,0.4444444,0.0000000
82,,0,39.8328018,-104.5859985,0.0000000,0.9854822
83,,0,39.8328018,-104.4830017,0.0000000,9.2937117
84,,0,39.8328018,-104.3799973,0.0000000,2.8620958
85,,0,39.9359016,-105.7200012,0.0000000,0.0000000
86,,0,39.9359016,-105.6169968,0.0000000,0.3759846
87,,0,39.9359016,-105.5139999,0.0000000,7.4796453
88,,0,39.9359016,-105.4110031,0.0000000,3.8778770
89,,0,39.9359016,-105.3079987,0.0000000,1.6126667
90,,0,39.9359016,-105.2050018,0.0000000,1.4881427
91,,0,39.9359016,-105.1019974,0.8888889,483.6311646
92,,0,39.9359016,-104.9990005,1.5555556,846.8631592
93,,0,39.9359016,-104.8960037,1.0000000,831.0671997
94,,0,39.9359016,-104.7929993,0.3333333,21.0569172
95,,0,39.9359016,-104.6900024,0.2222222,10.2295160
96,,0,39.9359016,-104.5859985,0.0000000,14.1039810
97,,0,39.9359016,-104.4830017,0.0000000,13.7784929
98,,0,39.9359016,-104.3799973,0.0000000,0.1480488
99,,0,40.0390015,-105.7200012,0.0000000,0.0000000
100,,0,40.0390015,-105.6169968,0.0000000,0.0194220
101,,0,40.0390015,-105.5139999,0.0000000,1.3903390
102,,0,40.0390015,-105.4110031,0.0000000,20.2129440
103,,0,40.0390015,-105.3079987,0.2222222,112.8841324
104,,0,40.0390015,-105.2050018,0.2222222,30.9964561
105,,0,40.0390015,-105.1019974,0.1111111,13.3544760
106,,0,40.0390015,-104.9990005,0.2222222,23.1200085
107,,0,40.0390015,-104.8960037,0.0000000,21.8099461
108,,0,40.0390015,-104.7929993,0.4444444,26.3806572
109,,0,40.0390015,-104.6900024,0.2222222,22.5372391
110,,0,40.0390015,-104.5859985,0.0000000,10.4211588
111,,0,40.0390015,-104.4830017,0.0000000,0.5373410
112,,0,40.0390015,-104.3799973,0.0000000,0.6253365
113,,0,40.1421013,-105.7200012,0.0000000,0.0000000
114,,0,40.1421013,-105.6169968,0.0000000,0.0000000
115,,0,40.1421013,-105.5139999,0.0000000,0.0376664
116,,0,40.1421013,-105.4110031,0.0000000,0.4708918
117,,0,40.1421013,-105.3079987,0.0000000,12.2646933
118,,0,40.1421013,-105.2050018,0.0000000,7.0387082
119,,0,40.1421013,-105.1019974,0.7777778,2347.5664062
120,,0,40.1421013,-104.9990005,0.5555556,306.8913269
121,,0,40.1421013,-104.8960037,0.0000000,4.0372634
122,,0,40.1421013,-104.7929993,0.0000000,18.7234650
123,,0,40.1421013,-104.6900024,0.0000000,4.7374458
124,,0,40.1421013,-104.5859985,0.0000000,1.3913317
125,,0,40.1421013,-104.4830017,0.0000000,1.3941972
126,,0,40.1421013,-104.3799973,0.0000000,3.4865246
127,,0,40.2452011,-105.7200012,0.0000000,0.0000000
128,,0,40.2452011,-105.6169968,0.0000000,0.0000000
129,,0,40.2452011,-105.5139999,0.1111111,6.8981767
130,,0,40.2452011,-105.4110031,0.0000000,0.7691085
131,,0,40.2452011,-105.3079987,0.1111111,6.5955629
132,,0,40.2452011,-105.2050018,0.0000000,4.5320435
133,,0,40.2452011,-105.1019974,0.0000000,92.1140900
134,,0,40.2452011,-104.9990005,0.2222222,228.8249207
135,,0,40.2452011,-104.8960037,0.0000000,2.8610594
136,,0,40.2452011,-104.7929993,0.1111111,4.9603124
137,,0,40.2452011,-104.6900024,0.2222222,14.3379087
138,,0,40.2452011,-104.5859985,0.1111111,5.8944874
139,,0,40.2452011,-104.4830017,0.0000000,1.3913313
140,,0,40.2452011,-104.3799973,0.0000000,1.3913313
