,time,point,step,heightAboveGround,latitude,longitude,valid_time,metpy_crs,t2m,r2,gribfile_projection,y,x,point_latitude,point_longitude,time_point
0,2021-09-01 00:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 00:00:00,Projection: lambert_conformal_conic,299.2021,18.3,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 00:00:00 0
1,2021-09-01 01:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 01:00:00,Projection: lambert_conformal_conic,298.47504,17.5,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 01:00:00 0
2,2021-09-01 02:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 02:00:00,Projection: lambert_conformal_conic,295.44012,19.4,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 02:00:00 0
3,2021-09-01 03:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 03:00:00,Projection: lambert_conformal_conic,294.76486,17.3,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 03:00:00 0
4,2021-09-01 04:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 04:00:00,Projection: lambert_conformal_conic,293.88046,18.0,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 04:00:00 0
5,2021-09-01 05:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 05:00:00,Projection: lambert_conformal_conic,292.1425,22.5,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 05:00:00 0
6,2021-09-01 06:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 06:00:00,Projection: lambert_conformal_conic,291.21295,22.5,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 06:00:00 0
7,2021-09-01 07:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 07:00:00,Projection: lambert_conformal_conic,290.18024,24.7,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 07:00:00 0
8,2021-09-01 08:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 08:00:00,Projection: lambert_conformal_conic,289.4249,25.4,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 08:00:00 0
9,2021-09-01 09:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 09:00:00,Projection: lambert_conformal_conic,289.77127,23.4,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 09:00:00 0
10,2021-09-01 10:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 10:00:00,Projection: lambert_conformal_conic,289.4638,22.5,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 10:00:00 0
11,2021-09-01 11:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 11:00:00,Projection: lambert_conformal_conic,289.692,25.5,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 11:00:00 0
12,2021-09-01 12:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 12:00:00,Projection: lambert_conformal_conic,289.8115,26.4,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 12:00:00 0
13,2021-09-01 13:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 13:00:00,Projection: lambert_conformal_conic,290.4049,25.3,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 13:00:00 0
14,2021-09-01 14:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 14:00:00,Projection: lambert_conformal_conic,291.60507,30.0,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 14:00:00 0
15,2021-09-01 15:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 15:00:00,Projection: lambert_conformal_conic,294.93805,31.4,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 15:00:00 0
16,2021-09-01 16:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 16:00:00,Projection: lambert_conformal_conic,297.54233,28.2,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 16:00:00 0
17,2021-09-01 17:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 17:00:00,Projection: lambert_conformal_conic,299.69617,23.5,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 17:00:00 0
18,2021-09-01 18:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 18:00:00,Projection: lambert_conformal_conic,298.27942,36.2,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 18:00:00 0
19,2021-09-01 19:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 19:00:00,Projection: lambert_conformal_conic,298.55063,31.1,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 19:00:00 0
20,2021-09-01 20:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 20:00:00,Projection: lambert_conformal_conic,297.98697,29.5,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 20:00:00 0
21,2021-09-01 21:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 21:00:00,Projection: lambert_conformal_conic,296.86472,29.1,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 21:00:00 0
22,2021-09-01 22:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 22:00:00,Projection: lambert_conformal_conic,297.1079,28.0,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 22:00:00 0
23,2021-09-01 23:00:00,0,0 days,2.0,39.61702255786337,254.67598020035493,2021-09-01 23:00:00,Projection: lambert_conformal_conic,294.78363,43.4,,152693.84744333563,-669520.142521931,39.620408,-105.33872,2021-09-01 23:00:00 0
24,2021-09-01 00:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 00:00:00,Projection: lambert_conformal_conic,304.5771,11.0,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 00:00:00 1
25,2021-09-01 01:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 01:00:00,Projection: lambert_conformal_conic,302.41254,12.9,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 01:00:00 1
26,2021-09-01 02:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 02:00:00,Projection: lambert_conformal_conic,299.87762,14.2,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 02:00:00 1
27,2021-09-01 03:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 03:00:00,Projection: lambert_conformal_conic,298.38986,14.8,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 03:00:00 1
28,2021-09-01 04:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 04:00:00,Projection: lambert_conformal_conic,297.88046,15.0,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 04:00:00 1
29,2021-09-01 05:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 05:00:00,Projection: lambert_conformal_conic,297.2675,23.6,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 05:00:00 1
30,2021-09-01 06:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 06:00:00,Projection: lambert_conformal_conic,295.21295,23.5,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 06:00:00 1
31,2021-09-01 07:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 07:00:00,Projection: lambert_conformal_conic,293.30524,24.2,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 07:00:00 1
32,2021-09-01 08:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 08:00:00,Projection: lambert_conformal_conic,293.5499,19.8,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 08:00:00 1
33,2021-09-01 09:00:00,1,0 days,2.0,39.73586472995094,254.83880805942914,2021-09-01 09:00:00,Projection: lambert_conformal_conic,292.08377,20.1,,164693.84744333554,-654520.142521931,39.743724,-105.177989,2021-09-01 09:00:00 1
