,actual_datetime,county_code,site_number,county,site,site_name,pop_den,no2_bool,u10,v10,latitude,longitude,t2m,r2,sp,orog,dswrf,MAXUVV,MAXDVV,date_local,time_local,date_gmt,time_gmt,o3,no2,day_of_year,hour_of_day,date,o3_0day,o3_1day,o3_2day,o3_3day,o3_4day,o3_5day,o3_6day,o3_7day
66,2021-05-04 01:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-1.3232689,-0.14862823,40.070016,-105.220238,277.68903,91.3,84160.0,1596.5759,1.4,-0.01694727,0.0,2021-05-03,18:00,2021-05-04,01:00,39.0,,124,1,2021-05-04 01:00:00,39.0,,,,,,,
67,2021-05-04 02:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.040836334,-0.049705505,40.070016,-105.220238,277.18494,92.6,84200.0,1596.5759,0.0,-0.017238855,0.0,2021-05-03,19:00,2021-05-04,02:00,38.0,,124,2,2021-05-04 02:00:00,38.0,39.0,,,,,,
68,2021-05-04 03:00:00,13,14,Boulder,27,Boulder,5.9120688,False,0.5088377,-0.7003021,40.070016,-105.220238,277.26642,90.4,84270.0,1596.5759,0.0,-0.028454065,0.0,2021-05-03,20:00,2021-05-04,03:00,38.0,,124,3,2021-05-04 03:00:00,38.0,38.0,39.0,,,,,
69,2021-05-04 04:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-1.3222351,-0.8180485,40.070016,-105.220238,277.24033,92.8,84320.0,1596.5759,0.0,-0.02398634,0.0,2021-05-03,21:00,2021-05-04,04:00,36.0,,124,4,2021-05-04 04:00:00,36.0,38.0,38.0,39.0,,,,
70,2021-05-04 05:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-1.0142717,-0.03430748,40.070016,-105.220238,277.03915,94.0,84330.0,1596.5759,0.0,-0.026221752,0.0,2021-05-03,22:00,2021-05-04,05:00,39.0,,124,5,2021-05-04 05:00:00,39.0,36.0,38.0,38.0,39.0,,,
71,2021-05-04 06:00:00,13,14,Boulder,27,Boulder,5.9120688,False,1.0469656,0.7633896,40.070016,-105.220238,277.01776,93.6,84330.0,1596.5759,0.0,-0.002910614,0.0,2021-05-03,23:00,2021-05-04,06:00,38.0,,124,6,2021-05-04 06:00:00,38.0,39.0,36.0,38.0,38.0,39.0,,
72,2021-05-04 07:00:00,13,14,Boulder,27,Boulder,5.9120688,False,0.271533,-0.46680832,40.070016,-105.220238,277.3898,90.4,84300.0,1596.5759,0.0,0.02993393,0.0,2021-05-04,00:00,2021-05-04,07:00,35.0,,124,7,2021-05-04 07:00:00,35.0,38.0,39.0,36.0,38.0,38.0,39.0,
73,2021-05-04 08:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.21731567,0.1801796,40.070016,-105.220238,277.23447,91.4,84220.0,1596.5759,0.0,0.000852108,0.0,2021-05-04,01:00,2021-05-04,08:00,33.0,,124,8,2021-05-04 08:00:00,33.0,35.0,38.0,39.0,36.0,38.0,38.0,39.0
74,2021-05-04 09:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.73075104,0.51330185,40.070016,-105.220238,277.1544,94.4,84150.0,1596.5759,0.0,-0.026906013,0.0,2021-05-04,02:00,2021-05-04,09:00,31.0,,124,9,2021-05-04 09:00:00,31.0,33.0,35.0,38.0,39.0,36.0,38.0,38.0
75,2021-05-04 10:00:00,13,14,Boulder,27,Boulder,5.9120688,False,0.49458694,-0.9099159,40.070016,-105.220238,276.24417,94.0,84150.0,1596.5759,0.0,0.0038218498,0.0,2021-05-04,03:00,2021-05-04,10:00,25.0,,124,10,2021-05-04 10:00:00,25.0,31.0,33.0,35.0,38.0,39.0,36.0,38.0
76,2021-05-04 11:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.10126686,-1.3196049,40.070016,-105.220238,275.6543,94.7,84150.0,1596.5759,0.0,0.023087502,0.0,2021-05-04,04:00,2021-05-04,11:00,26.0,,124,11,2021-05-04 11:00:00,26.0,25.0,31.0,33.0,35.0,38.0,39.0,36.0
77,2021-05-04 12:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.72983646,-0.25521278,40.070016,-105.220238,275.3187,95.6,84140.0,1596.5759,0.0,-0.006421089,0.0,2021-05-04,05:00,2021-05-04,12:00,30.0,,124,12,2021-05-04 12:00:00,30.0,26.0,25.0,31.0,33.0,35.0,38.0,39.0
78,2021-05-04 13:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.40807343,-0.12643433,40.070016,-105.220238,276.12576,97.4,84170.0,1596.5759,136.1,0.0015077591,0.0,2021-05-04,06:00,2021-05-04,13:00,31.0,,124,13,2021-05-04 13:00:00,31.0,30.0,26.0,25.0,31.0,33.0,35.0,38.0
79,2021-05-04 14:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.5799084,0.31498337,40.070016,-105.220238,277.90894,90.2,84200.0,1596.5759,310.4,-0.023212433,0.0,2021-05-04,07:00,2021-05-04,14:00,32.0,,124,14,2021-05-04 14:00:00,32.0,31.0,30.0,26.0,25.0,31.0,33.0,35.0
80,2021-05-04 15:00:00,13,14,Boulder,27,Boulder,5.9120688,False,0.13098145,0.29893875,40.070016,-105.220238,279.2722,84.8,84160.0,1596.5759,444.6,-0.005305052,0.0,2021-05-04,08:00,2021-05-04,15:00,33.0,,124,15,2021-05-04 15:00:00,33.0,32.0,31.0,30.0,26.0,25.0,31.0,33.0
81,2021-05-04 16:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.42541027,0.5329437,40.070016,-105.220238,281.0297,76.1,84100.0,1596.5759,726.0,0.011450052,0.0,2021-05-04,09:00,2021-05-04,16:00,36.0,,124,16,2021-05-04 16:00:00,36.0,33.0,32.0,31.0,30.0,26.0,25.0,31.0
82,2021-05-04 17:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-1.4247923,0.059519768,40.070016,-105.220238,282.25568,72.8,84070.0,1596.5759,695.0,-0.02890563,0.0,2021-05-04,10:00,2021-05-04,17:00,39.0,,124,17,2021-05-04 17:00:00,39.0,36.0,33.0,32.0,31.0,30.0,26.0,25.0
83,2021-05-04 18:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-1.0244551,0.2759161,40.070016,-105.220238,283.45792,67.7,84010.0,1596.5759,964.0,-0.028327703,0.0,2021-05-04,11:00,2021-05-04,18:00,41.0,,124,18,2021-05-04 18:00:00,41.0,39.0,36.0,33.0,32.0,31.0,30.0,26.0
84,2021-05-04 19:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-1.3781452,-0.46649742,40.070016,-105.220238,284.79364,63.8,83910.0,1596.5759,764.0,0.0089223385,0.0,2021-05-04,12:00,2021-05-04,19:00,43.0,,124,19,2021-05-04 19:00:00,43.0,41.0,39.0,36.0,33.0,32.0,31.0,30.0
85,2021-05-04 20:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-1.8446531,-0.42483234,40.070016,-105.220238,285.9025,60.8,83850.0,1596.5759,949.0,-0.021699667,0.0,2021-05-04,13:00,2021-05-04,20:00,46.0,,124,20,2021-05-04 20:00:00,46.0,43.0,41.0,39.0,36.0,33.0,32.0,31.0
86,2021-05-04 21:00:00,13,14,Boulder,27,Boulder,5.9120688,False,-0.6354208,-0.38504028,40.070016,-105.220238,286.38425,58.5,83820.0,1596.5759,71.0,-0.004873395,0.0,2021-05-04,14:00,2021-05-04,21:00,48.0,,124,21,2021-05-04 21:00:00,48.0,46.0,43.0,41.0,39.0,36.0,33.0,32.0
