,actual_datetime,county_code,site_number,county,site,site_name,pop_den,no2_bool,u10,v10,latitude,longitude,t2m,r2,sp,orog,dswrf,MAXUVV,MAXDVV,date_local,time_local,date_gmt,time_gmt,o3,no2,day_of_year,hour_of_day,date,o3_0day,o3_1day,o3_2day,o3_3day,o3_4day,o3_5day,o3_6day,o3_7day
66,2021-05-04 01:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-3.948269,-1.3361282,39.638522,-104.569335,277.25153,87.7,82300.0,1773.7322,25.4,-0.01694727,0.0,2021-05-03,18:00,2021-05-04,01:00,38.0,,124,1,2021-05-04 01:00:00,38.0,,,,,,,
67,2021-05-04 02:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-3.4158363,0.2002945,39.638522,-104.569335,276.74744,87.6,82360.0,1773.7322,0.0,-0.017238855,0.0,2021-05-03,19:00,2021-05-04,02:00,37.0,,124,2,2021-05-04 02:00:00,37.0,38.0,,,,,,
68,2021-05-04 03:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-2.6161623,0.5496979,39.638522,-104.569335,276.70392,94.1,82410.0,1773.7322,0.0,-0.028454065,0.0,2021-05-03,20:00,2021-05-04,03:00,35.0,,124,3,2021-05-04 03:00:00,35.0,37.0,38.0,,,,,
69,2021-05-04 04:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-1.0722351,0.49445152,39.638522,-104.569335,276.80283,89.6,82480.0,1773.7322,0.0,-0.02398634,0.0,2021-05-03,21:00,2021-05-04,04:00,35.0,,124,4,2021-05-04 04:00:00,35.0,35.0,37.0,38.0,,,,
70,2021-05-04 05:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-1.6392717,0.21569252,39.638522,-104.569335,276.78915,87.3,82450.0,1773.7322,0.0,-0.026221752,0.0,2021-05-03,22:00,2021-05-04,05:00,33.0,,124,5,2021-05-04 05:00:00,33.0,35.0,35.0,37.0,38.0,,,
71,2021-05-04 06:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-1.2030344,1.2008896,39.638522,-104.569335,275.89276,89.9,82470.0,1773.7322,0.0,-0.002910614,0.0,2021-05-03,23:00,2021-05-04,06:00,33.0,,124,6,2021-05-04 06:00:00,33.0,33.0,35.0,35.0,37.0,38.0,,
72,2021-05-04 07:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-1.540967,0.09569168,39.638522,-104.569335,276.2023,92.7,82430.0,1773.7322,0.0,0.02993393,0.0,2021-05-04,00:00,2021-05-04,07:00,29.0,,124,7,2021-05-04 07:00:00,29.0,33.0,33.0,35.0,35.0,37.0,38.0,
73,2021-05-04 08:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,0.7826843,1.8676796,39.638522,-104.569335,275.29697,90.8,82400.0,1773.7322,0.0,0.000852108,0.0,2021-05-04,01:00,2021-05-04,08:00,30.0,,124,8,2021-05-04 08:00:00,30.0,29.0,33.0,33.0,35.0,35.0,37.0,38.0
74,2021-05-04 09:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-0.98075104,1.7633018,39.638522,-104.569335,275.0919,90.6,82350.0,1773.7322,0.0,-0.026906013,0.0,2021-05-04,02:00,2021-05-04,09:00,32.0,,124,9,2021-05-04 09:00:00,32.0,30.0,29.0,33.0,33.0,35.0,35.0,37.0
75,2021-05-04 10:00:00,5,6,Arapahoe,11,East Plains,4.2667007,False,-0.56791306,1.7775841,39.638522,-104.569335,275.36917,87.1,82350.0,1773.7322,0.0,0.0038218498,0.0,2021-05-04,03:00,2021-05-04,10:00,31.0,,124,10,2021-05-04 10:00:00,31.0,32.0,30.0,29.0,33.0,33.0,35.0,35.0
