,actual_datetime,county_code,site_number,county,site,site_name,pop_den,no2_bool,u10,v10,latitude,longitude,t2m,r2,sp,orog,dswrf,MAXUVV,MAXDVV,date_local,time_local,date_gmt,time_gmt,o3,no2,day_of_year,hour_of_day,datetime
66,2021-05-04 01:00:00,31,2,Denver,33,Five Points,5409.2983398,True,0.17673111,-0.71112823,39.751184,-104.987625,278.37653,90.1,84070.0,1602.0759,5.5,-0.01694727,0.0,2021-05-03,18:00,2021-05-04,01:00,,17.1,124,1,2021-05-04 01:00:00
67,2021-05-04 02:00:00,31,2,Denver,33,Five Points,5409.2983398,True,-2.2908363,-1.9247055,39.751184,-104.987625,278.30994,92.8,84100.0,1602.0759,0.0,-0.017238855,0.0,2021-05-03,19:00,2021-05-04,02:00,,10.0,124,2,2021-05-04 02:00:00
68,2021-05-04 03:00:00,31,2,Denver,33,Five Points,5409.2983398,True,0.6963377,-1.5128021,39.751184,-104.987625,277.32892,99.3,84210.0,1602.0759,0.0,-0.028454065,0.0,2021-05-03,20:00,2021-05-04,03:00,,18.1,124,3,2021-05-04 03:00:00
69,2021-05-04 04:00:00,31,2,Denver,33,Five Points,5409.2983398,True,0.11526489,-1.1305485,39.751184,-104.987625,277.24033,94.4,84240.0,1602.0759,0.0,-0.02398634,0.0,2021-05-03,21:00,2021-05-04,04:00,,19.4,124,4,2021-05-04 04:00:00
70,2021-05-04 05:00:00,31,2,Denver,33,Five Points,5409.2983398,True,-0.70177174,-0.5343075,39.751184,-104.987625,277.35165,95.8,84230.0,1602.0759,0.0,-0.026221752,0.0,2021-05-03,22:00,2021-05-04,05:00,,20.7,124,5,2021-05-04 05:00:00
71,2021-05-04 06:00:00,31,2,Denver,33,Five Points,5409.2983398,True,0.1719656,0.8883896,39.751184,-104.987625,277.39276,95.1,84260.0,1602.0759,0.0,-0.002910614,0.0,2021-05-03,23:00,2021-05-04,06:00,,6.7,124,6,2021-05-04 06:00:00
72,2021-05-04 07:00:00,31,2,Denver,33,Five Points,5409.2983398,True,-0.040966988,0.47069168,39.751184,-104.987625,277.5773,94.2,84230.0,1602.0759,0.0,-0.03256607,0.0,2021-05-04,00:00,2021-05-04,07:00,,7.9,124,7,2021-05-04 07:00:00
73,2021-05-04 08:00:00,31,2,Denver,33,Five Points,5409.2983398,True,-0.029815674,0.4301796,39.751184,-104.987625,277.60947,94.0,84150.0,1602.0759,0.0,0.000852108,0.0,2021-05-04,01:00,2021-05-04,08:00,,5.6,124,8,2021-05-04 08:00:00
74,2021-05-04 09:00:00,31,2,Denver,33,Five Points,5409.2983398,True,-0.043251038,0.95080185,39.751184,-104.987625,277.1544,94.6,84100.0,1602.0759,0.0,-0.026906013,0.0,2021-05-04,02:00,2021-05-04,09:00,,10.9,124,9,2021-05-04 09:00:00
75,2021-05-04 10:00:00,31,2,Denver,33,Five Points,5409.2983398,True,-0.88041306,0.15258408,39.751184,-104.987625,276.99417,93.9,84090.0,1602.0759,0.0,0.0038218498,0.0,2021-05-04,03:00,2021-05-04,10:00,,10.9,124,10,2021-05-04 10:00:00
76,2021-05-04 11:00:00,31,2,Denver,33,Five Points,5409.2983398,True,-0.03876686,0.36789513,39.751184,-104.987625,276.5293,92.8,84080.0,1602.0759,0.0,0.023087502,0.0,2021-05-04,04:00,2021-05-04,11:00,,22.4,124,11,2021-05-04 11:00:00
