,actual_datetime,county_code,site_number,county,site,site_name,pop_den,no2_bool,u10,v10,latitude,longitude,t2m,r2,sp,orog,dswrf,MAXUVV,MAXDVV,date_local,time_local,date_gmt,time_gmt,o3,no2,day_of_year,hour_of_day,date,o3_0day,o3_1day,o3_2day,o3_3day,o3_4day,o3_5day,o3_6day,o3_7day
66,2021-05-04 01:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-1.0732689,-0.21112823,39.567887,-104.957193,277.18903,91.0,82570.0,1749.5134,7.2,-0.01694727,0.0,2021-05-03,18:00,2021-05-04,01:00,29.0,,124,1,2021-05-04 01:00:00,29.0,,,,,,,
67,2021-05-04 02:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-1.2908363,-1.2372055,39.567887,-104.957193,276.37244,99.0,82610.0,1749.5134,0.0,-0.017238855,0.0,2021-05-03,19:00,2021-05-04,02:00,29.0,,124,2,2021-05-04 02:00:00,29.0,29.0,,,,,,
68,2021-05-04 03:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-0.1786623,-0.9503021,39.567887,-104.957193,276.89142,91.5,82680.0,1749.5134,0.0,-0.028454065,0.0,2021-05-03,20:00,2021-05-04,03:00,30.0,,124,3,2021-05-04 03:00:00,30.0,29.0,29.0,,,,,
69,2021-05-04 04:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-1.0097351,-2.3805485,39.567887,-104.957193,276.05283,100.0,82730.0,1749.5134,0.0,-0.02398634,0.0,2021-05-03,21:00,2021-05-04,04:00,33.0,,124,4,2021-05-04 04:00:00,33.0,30.0,29.0,29.0,,,,
70,2021-05-04 05:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-0.70177174,-1.2218075,39.567887,-104.957193,275.97665,99.7,82710.0,1749.5134,0.0,-0.026221752,0.0,2021-05-03,22:00,2021-05-04,05:00,37.0,,124,5,2021-05-04 05:00:00,37.0,33.0,30.0,29.0,29.0,,,
71,2021-05-04 06:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-0.2655344,-0.23661041,39.567887,-104.957193,276.51776,94.7,82730.0,1749.5134,0.0,-0.002910614,0.0,2021-05-03,23:00,2021-05-04,06:00,32.0,,124,6,2021-05-04 06:00:00,32.0,37.0,33.0,30.0,29.0,29.0,,
72,2021-05-04 07:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,0.08403301,-0.27930832,39.567887,-104.957193,276.4523,96.2,82710.0,1749.5134,0.0,0.02993393,0.0,2021-05-04,00:00,2021-05-04,07:00,29.0,,124,7,2021-05-04 07:00:00,29.0,32.0,37.0,33.0,30.0,29.0,29.0,
73,2021-05-04 08:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-0.7173157,0.2426796,39.567887,-104.957193,276.35947,95.2,82630.0,1749.5134,0.0,0.000852108,0.0,2021-05-04,01:00,2021-05-04,08:00,27.0,,124,8,2021-05-04 08:00:00,27.0,29.0,32.0,37.0,33.0,30.0,29.0,29.0
74,2021-05-04 09:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-0.29325104,0.57580185,39.567887,-104.957193,276.4669,95.4,82590.0,1749.5134,0.0,-0.026906013,0.0,2021-05-04,02:00,2021-05-04,09:00,26.0,,124,9,2021-05-04 09:00:00,26.0,27.0,29.0,32.0,37.0,33.0,30.0,29.0
75,2021-05-04 10:00:00,5,2,Arapahoe,7,Highlands Ranch,2928.1496582,False,-1.130413,0.15258408,39.567887,-104.957193,276.05667,88.0,82560.0,1749.5134,0.0,0.0038218498,0.0,2021-05-04,03:00,2021-05-04,10:00,27.0,,124,10,2021-05-04 10:00:00,27.0,26.0,27.0,29.0,32.0,37.0,33.0,30.0
