,actual_datetime,county_code,site_number,county,site,site_name,pop_den,no2_bool,u10,v10,latitude,longitude,t2m,r2,sp,orog,dswrf,MAXUVV,MAXDVV,date_local,time_local,date_gmt,time_gmt,o3,no2,day_of_year,hour_of_day,datetime
66,2021-05-04 01:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-1.8232689,0.60137177,39.743724,-105.177989,276.93903,96.4,82500.0,1756.7634,1.8,-0.01694727,0.0,2021-05-03,18:00,2021-05-04,01:00,0.036,,124,1,2021-05-04 01:00:00
67,2021-05-04 02:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.41583633,-2.4872055,39.743724,-105.177989,276.80994,94.8,82510.0,1756.7634,0.0,-0.017238855,0.0625,2021-05-03,19:00,2021-05-04,02:00,0.038,,124,2,2021-05-04 02:00:00
68,2021-05-04 03:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-1.1161623,-0.8253021,39.743724,-105.177989,275.51642,100.0,82640.0,1756.7634,0.0,-0.028454065,0.0625,2021-05-03,20:00,2021-05-04,03:00,0.036,,124,3,2021-05-04 03:00:00
69,2021-05-04 04:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.1972351,-1.3180485,39.743724,-105.177989,275.99033,98.7,82650.0,1756.7634,0.0,-0.02398634,0.0,2021-05-03,21:00,2021-05-04,04:00,0.032,,124,4,2021-05-04 04:00:00
70,2021-05-04 05:00:00,59,11,Jefferson,70,South Table,77.2322769,False,0.17322826,-1.0968075,39.743724,-105.177989,276.41415,94.2,82640.0,1756.7634,0.0,-0.026221752,0.0,2021-05-03,22:00,2021-05-04,05:00,0.031,,124,5,2021-05-04 05:00:00
71,2021-05-04 06:00:00,59,11,Jefferson,70,South Table,77.2322769,False,0.9219656,0.013389587,39.743724,-105.177989,276.01776,97.1,82680.0,1756.7634,0.0,-0.002910614,0.0,2021-05-03,23:00,2021-05-04,06:00,0.037,,124,6,2021-05-04 06:00:00
72,2021-05-04 07:00:00,59,11,Jefferson,70,South Table,77.2322769,False,0.521533,-0.21680832,39.743724,-105.177989,276.3273,93.4,82640.0,1756.7634,0.0,-0.03256607,0.0,2021-05-04,00:00,2021-05-04,07:00,0.037,,124,7,2021-05-04 07:00:00
73,2021-05-04 08:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.9673157,1.0551796,39.743724,-105.177989,276.48447,93.2,82570.0,1756.7634,0.0,0.000852108,0.0,2021-05-04,01:00,2021-05-04,08:00,0.038,,124,8,2021-05-04 08:00:00
74,2021-05-04 09:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.91825104,1.3883018,39.743724,-105.177989,276.3419,96.8,82510.0,1756.7634,0.0,-0.026906013,0.0,2021-05-04,02:00,2021-05-04,09:00,0.037,,124,9,2021-05-04 09:00:00
75,2021-05-04 10:00:00,59,11,Jefferson,70,South Table,77.2322769,False,0.61958694,0.5275841,39.743724,-105.177989,276.36917,89.3,82500.0,1756.7634,0.0,0.0038218498,0.0,2021-05-04,03:00,2021-05-04,10:00,0.036,,124,10,2021-05-04 10:00:00
76,2021-05-04 11:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.91376686,0.9928951,39.743724,-105.177989,275.5293,95.8,82480.0,1756.7634,0.0,0.023087502,0.0,2021-05-04,04:00,2021-05-04,11:00,0.031,,124,11,2021-05-04 11:00:00
77,2021-05-04 12:00:00,59,11,Jefferson,70,South Table,77.2322769,False,0.77016354,-1.2552128,39.743724,-105.177989,275.6937,98.8,82500.0,1756.7634,0.0,-0.006421089,0.0,2021-05-04,05:00,2021-05-04,12:00,0.025,,124,12,2021-05-04 12:00:00
78,2021-05-04 13:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.47057343,-0.9389343,39.743724,-105.177989,275.75076,100.0,82520.0,1756.7634,61.0,0.0015077591,0.0,2021-05-04,06:00,2021-05-04,13:00,0.025,,124,13,2021-05-04 13:00:00
79,2021-05-04 14:00:00,59,11,Jefferson,70,South Table,77.2322769,False,0.23259163,-1.7475166,39.743724,-105.177989,276.97144,95.5,82540.0,1756.7634,184.2,-0.023212433,0.0,2021-05-04,07:00,2021-05-04,14:00,0.0275,,124,14,2021-05-04 14:00:00
80,2021-05-04 15:00:00,59,11,Jefferson,70,South Table,77.2322769,False,0.81848145,-1.3885612,39.743724,-105.177989,278.2097,86.8,82500.0,1756.7634,181.8,-0.005305052,0.0,2021-05-04,08:00,2021-05-04,15:00,0.03,,124,15,2021-05-04 15:00:00
81,2021-05-04 16:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.30041027,-0.34205627,39.743724,-105.177989,280.3422,79.0,82450.0,1756.7634,590.0,0.011450052,0.0,2021-05-04,09:00,2021-05-04,16:00,0.03,,124,16,2021-05-04 16:00:00
82,2021-05-04 17:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-1.0497923,-0.12798023,39.743724,-105.177989,281.88068,73.0,82420.0,1756.7634,888.0,-0.02890563,0.0,2021-05-04,10:00,2021-05-04,17:00,0.032,,124,17,2021-05-04 17:00:00
83,2021-05-04 18:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-1.8369551,0.0884161,39.743724,-105.177989,283.89542,64.5,82370.0,1756.7634,967.0,-0.028327703,0.0,2021-05-04,11:00,2021-05-04,18:00,0.036,,124,18,2021-05-04 18:00:00
84,2021-05-04 19:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-2.1281452,-0.21649742,39.743724,-105.177989,285.23114,58.7,82300.0,1756.7634,921.0,0.0089223385,0.0625,2021-05-04,12:00,2021-05-04,19:00,0.039,,124,19,2021-05-04 19:00:00
85,2021-05-04 20:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-2.0946531,0.70016766,39.743724,-105.177989,285.7775,53.1,82230.0,1756.7634,337.0,-0.021699667,0.0,2021-05-04,13:00,2021-05-04,20:00,0.043,,124,20,2021-05-04 20:00:00
86,2021-05-04 21:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-1.6979208,-1.0100403,39.743724,-105.177989,284.69675,57.1,82220.0,1756.7634,122.0,-0.004873395,0.0625,2021-05-04,14:00,2021-05-04,21:00,0.043,,124,21,2021-05-04 21:00:00
87,2021-05-04 22:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-0.65278625,-0.5818348,39.743724,-105.177989,284.75885,56.2,82130.0,1756.7634,1.8,0.023056626,0.0,2021-05-04,15:00,2021-05-04,22:00,0.042,,124,22,2021-05-04 22:00:00
88,2021-05-04 23:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-3.3128653,-0.6428976,39.743724,-105.177989,284.75308,56.9,82140.0,1756.7634,121.4,0.013808966,0.0625,2021-05-04,16:00,2021-05-04,23:00,0.046,,124,23,2021-05-04 23:00:00
89,2021-05-05 00:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-2.2008362,-3.0181246,39.743724,-105.177989,284.26544,53.7,82210.0,1756.7634,3.0,-0.030592918,0.0625,2021-05-04,17:00,2021-05-05,00:00,0.048,,125,0,2021-05-05 00:00:00
90,2021-05-05 01:00:00,59,11,Jefferson,70,South Table,77.2322769,False,-2.0123663,-2.4050379,39.743724,-105.177989,283.57312,53.3,82220.0,1756.7634,117.3,0.024377108,0.0625,2021-05-04,18:00,2021-05-05,01:00,0.046,,125,1,2021-05-05 01:00:00
91,2021-05-05 02:00:00,59,11,Jefferson,70,South Table,77.2322769,False,1.8058624,1.9441414,39.743724,-105.177989,282.12982,51.0,82300.0,1756.7634,0.0,-0.045195103,0.0,2021-05-04,19:00,2021-05-05,02:00,0.045,,125,2,2021-05-05 02:00:00
92,2021-05-05 03:00:00,59,11,Jefferson,70,South Table,77.2322769,False,2.24259,1.4448853,39.743724,-105.177989,280.82556,72.9,82430.0,1756.7634,0.0,-0.025845528,0.0,2021-05-04,20:00,2021-05-05,03:00,0.047,,125,3,2021-05-05 03:00:00
93,2021-05-05 04:00:00,59,11,Jefferson,70,South Table,77.2322769,False,3.1388502,0.8442879,39.743724,-105.177989,280.35266,72.8,82450.0,1756.7634,0.0,-0.021734238,0.0,2021-05-04,21:00,2021-05-05,04:00,0.044,,125,4,2021-05-05 04:00:00
94,2021-05-05 05:00:00,59,11,Jefferson,70,South Table,77.2322769,False,2.9403238,2.5293808,39.743724,-105.177989,280.61362,67.0,82460.0,1756.7634,0.0,-0.08643603,0.0,2021-05-04,22:00,2021-05-05,05:00,0.041,,125,5,2021-05-05 05:00:00
