,actual_datetime,county_code,site_number,county,site,site_name,pop_den,no2_bool,u10,v10,latitude,longitude,t2m,r2,sp,orog,dswrf,MAXUVV,MAXDVV,date_local,time_local,date_gmt,time_gmt,o3,no2,day_of_year,hour_of_day,date,o3_0day,o3_1day,o3_2day,o3_3day,o3_4day,o3_5day,o3_6day,o3_7day
66,2021-05-04 01:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-0.5732689,-1.2736282,39.77949,-105.00518,278.62653,87.2,84270.0,1582.5134,18.8,-0.01694727,0.0,2021-05-03,18:00,2021-05-04,01:00,29.0,12.2,124,1,2021-05-04 01:00:00,29.0,,,,,,,
67,2021-05-04 02:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-1.8533363,-2.1122055,39.77949,-105.00518,278.43494,92.2,84300.0,1582.5134,0.0,-0.017238855,0.0,2021-05-03,19:00,2021-05-04,02:00,30.0,10.7,124,2,2021-05-04 02:00:00,30.0,29.0,,,,,,
68,2021-05-04 03:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-0.1161623,-2.3253021,39.77949,-105.00518,277.51642,95.6,84410.0,1582.5134,0.0,-0.028454065,0.0,2021-05-03,20:00,2021-05-04,03:00,29.0,9.9,124,3,2021-05-04 03:00:00,29.0,30.0,29.0,,,,,
69,2021-05-04 04:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,0.1777649,-1.4430485,39.77949,-105.00518,277.30283,93.4,84440.0,1582.5134,0.0,-0.02398634,0.0,2021-05-03,21:00,2021-05-04,04:00,30.0,8.5,124,4,2021-05-04 04:00:00,30.0,29.0,30.0,29.0,,,,
70,2021-05-04 05:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-0.88927174,-0.40930748,39.77949,-105.00518,277.47665,94.1,84440.0,1582.5134,0.0,-0.026221752,0.0,2021-05-03,22:00,2021-05-04,05:00,30.0,9.7,124,5,2021-05-04 05:00:00,30.0,30.0,29.0,30.0,29.0,,,
71,2021-05-04 06:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,0.2344656,1.0758896,39.77949,-105.00518,277.51776,93.7,84460.0,1582.5134,0.0,-0.002910614,0.0,2021-05-03,23:00,2021-05-04,06:00,34.0,10.9,124,6,2021-05-04 06:00:00,34.0,30.0,30.0,29.0,30.0,29.0,,
72,2021-05-04 07:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,0.14653301,0.7831917,39.77949,-105.00518,277.7023,92.9,84430.0,1582.5134,0.0,-0.03256607,0.0,2021-05-04,00:00,2021-05-04,07:00,27.0,8.8,124,7,2021-05-04 07:00:00,27.0,34.0,30.0,30.0,29.0,30.0,29.0,
73,2021-05-04 08:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,0.22018433,0.4301796,39.77949,-105.00518,277.79697,92.2,84350.0,1582.5134,0.0,0.000852108,0.0,2021-05-04,01:00,2021-05-04,08:00,27.0,8.1,124,8,2021-05-04 08:00:00,27.0,27.0,34.0,30.0,30.0,29.0,30.0,29.0
74,2021-05-04 09:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-0.043251038,0.95080185,39.77949,-105.00518,277.4044,94.4,84300.0,1582.5134,0.0,-0.026906013,0.0,2021-05-04,02:00,2021-05-04,09:00,25.0,9.8,124,9,2021-05-04 09:00:00,25.0,27.0,27.0,34.0,30.0,30.0,29.0,30.0
75,2021-05-04 10:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-0.81791306,0.027584076,39.77949,-105.00518,277.11917,93.6,84300.0,1582.5134,0.0,0.0038218498,0.0,2021-05-04,03:00,2021-05-04,10:00,17.0,16.0,124,10,2021-05-04 10:00:00,17.0,25.0,27.0,27.0,34.0,30.0,30.0,29.0
76,2021-05-04 11:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,0.023733139,0.24289513,39.77949,-105.00518,276.6543,93.1,84280.0,1582.5134,0.0,0.023087502,0.0,2021-05-04,04:00,2021-05-04,11:00,7.0,25.4,124,11,2021-05-04 11:00:00,7.0,17.0,25.0,27.0,27.0,34.0,30.0,30.0
77,2021-05-04 12:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,0.52016354,-1.1302128,39.77949,-105.00518,276.4437,93.8,84290.0,1582.5134,0.0,-0.006421089,0.0,2021-05-04,05:00,2021-05-04,12:00,1.0,36.5,124,12,2021-05-04 12:00:00,1.0,7.0,17.0,25.0,27.0,27.0,34.0,30.0
78,2021-05-04 13:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-0.7830734,-0.5014343,39.77949,-105.00518,277.00076,94.1,84300.0,1582.5134,144.4,0.0015077591,0.0,2021-05-04,06:00,2021-05-04,13:00,9.499999999999998,27.0,124,13,2021-05-04 13:00:00,9.499999999999998,1.0,7.0,17.0,25.0,27.0,27.0,34.0
79,2021-05-04 14:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,-0.7674084,-0.74751663,39.77949,-105.00518,278.28394,87.7,84310.0,1582.5134,107.0,-0.023212433,0.0,2021-05-04,07:00,2021-05-04,14:00,18.0,17.5,124,14,2021-05-04 14:00:00,18.0,9.499999999999998,1.0,7.0,17.0,25.0,27.0,27.0
80,2021-05-04 15:00:00,31,26,Denver,57,Sunnyside,2455.9509277,True,0.44348145,-0.07606125,39.77949,-105.00518,279.7097,80.9,84270.0,1582.5134,222.1,-0.005305052,0.0,2021-05-04,08:00,2021-05-04,15:00,25.0,10.6,124,15,2021-05-04 15:00:00,25.0,18.0,9.499999999999998,1.0,7.0,17.0,25.0,27.0
