,site,orog,pop_den,NLCD
0,Boulder,1596.5759,5.9120688,0.6666667
1,Chatfield Reservoir,1678.2947,0.0,0.2222222
2,East Plains,1773.7322,4.2667007,0.2222222
3,Evergreen,2259.076,392.4452209,0.2222222
4,Five Points,1602.0759,5409.29834,1.8888888
5,Highlands Ranch,1749.5134,2928.149658,1.1111112
6,Idaho Springs,2602.6072,0.2824137,0.2222222
7,Rocky Flats,1729.9197,0.2103525,0.0
8,South Table,1756.7634,77.2322769,0.4444444
9,Sunnyside,1582.5134,2455.950928,1.6666666
10,Welby,1566.7634,83.7331009,1.2222222
