,site,orog,pop_den,NLCD
0,100,1500.1384,0.537341,0.0
1,101,1528.4509,10.4211588,0.0
2,102,1520.2322,22.5372391,0.2222222
3,103,1520.7947,26.3806572,0.4444444
4,104,1546.5759,21.8099461,0.0
5,105,1565.0134,23.1200085,0.2222222
6,106,1558.8259,13.354476,0.1111111
7,107,1580.6384,30.9964561,0.2222222
8,108,1816.3884,112.8841324,0.2222222
9,109,2343.701,20.212944,0.0
10,10,2535.951,0.0,0.0
11,110,2765.0134,1.390339,0.0
12,111,3498.201,0.019422,0.0
13,112,3190.576,0.0,0.0
14,113,1448.3884,3.4865246,0.0
15,114,1494.0759,1.3941972,0.0
16,115,1492.4197,1.3913317,0.0
17,116,1488.7947,4.7374458,0.0
18,117,1514.7634,18.723465,0.0
19,118,1522.3259,4.0372634,0.0
20,119,1481.5759,306.8913269,0.5555556
21,11,2618.4197,0.0314107,0.0
22,120,1512.3572,2347.5664062,0.7777778
23,121,1568.2009,7.0387082,0.0
24,122,1893.3259,12.2646933,0.0
25,123,2421.076,0.4708918,0.0
26,124,2929.826,0.0376664,0.0
27,125,3400.1384,0.0,0.0
28,126,3216.3572,0.0,0.0
29,127,1430.2322,1.3913313,0.0
30,128,1479.0134,1.3913313,0.0
31,129,1459.0134,5.8944874,0.1111111
32,12,3201.3884,0.0,0.0
33,130,1491.3259,14.3379087,0.2222222
34,131,1468.7009,4.9603124,0.1111111
35,132,1462.0134,2.8610594,0.0
36,133,1530.5134,228.8249207,0.2222222
37,134,1567.0759,92.11409,0.0
38,135,1699.4509,4.5320435,0.0
39,136,1858.4509,6.5955629,0.1111111
40,137,2190.201,0.7691085,0.0
41,138,2794.2947,6.8981767,0.1111111
42,139,3785.6072,0.0,0.0
43,13,3323.1384,0.0421007,0.0
44,140,3434.0134,0.0,0.0
45,14,2861.701,0.3389662,0.0
46,15,1873.4822,1.7291036,0.0
47,16,1913.1697,2.9655039,0.0
48,17,1945.4509,22.6867256,0.0
49,18,1944.7947,43.4997978,0.1111111
50,19,1872.9197,8.5913486,0.3333333
51,1,1942.0759,1.3605413,0.0
52,20,1931.0759,204.0354462,0.8888889
53,21,1811.3884,41.4937172,0.0
54,22,2099.076,0.2371556,0.0
55,23,2050.576,1.430288,0.0
56,24,2338.1384,3.1741028,0.0
57,25,2454.1697,102.0373688,0.0
58,26,2597.8572,3.7133002,0.0
59,27,3175.076,0.9727796,0.0
60,28,3402.5447,0.9727796,0.0
61,29,1791.9509,2.2320545,0.0
62,2,1974.3259,7.1480684,0.0
63,30,1825.0134,14.4260406,0.2222222
64,31,1894.5447,16.4165421,0.2222222
65,32,1920.2634,130.4205475,0.1111111
66,33,1788.0759,4151.9814453,1.3333334
67,34,1819.5759,53.4640198,0.7777778
68,35,1764.7634,184.5049896,0.8888889
69,36,1725.1384,0.867466,0.0
70,37,2253.4197,17.2984123,0.0
71,38,2523.9197,27.6438923,0.0
72,39,2915.076,8.5562677,0.0
73,3,2032.7009,6.6720366,0.0
74,40,2817.0134,5.9460878,0.1111111
75,41,3544.9197,1.176626,0.0
76,42,3097.826,0.0508174,0.0
77,43,1715.8259,0.9815995,0.0
78,44,1790.0759,1.3062487,0.0
79,45,1812.2634,0.0536104,0.0
80,46,1785.8884,0.0,0.7777778
81,47,1756.7634,1627.0960693,1.3333334
82,48,1725.2634,1279.942749,1.5555556
83,49,1628.3259,2232.8278809,1.5555556
84,4,2057.201,34.7599792,0.0
85,50,1716.2634,2516.5808105,1.1111112
86,51,2154.576,0.0721935,0.0
87,52,2259.076,124.4125748,0.1111111
88,53,2396.701,30.7684917,0.0
89,54,2586.9197,0.0479468,0.0
90,55,3613.576,0.2529538,0.0
91,56,3537.9197,0.0153344,0.0
92,57,1665.7947,12.8841381,0.0
93,58,1711.1384,0.0,0.0
94,59,1705.9197,10.0641184,0.2222222
95,5,2044.5759,6.2843513,0.0
96,60,1695.7009,28.0137253,0.5555556
97,61,1659.0134,2628.2165527,1.6666666
98,62,1643.8259,2759.1896973,1.1111112
99,63,1617.4197,2410.2143555,1.8888888
100,64,1674.6384,659.6049805,1.2222222
101,65,1804.4197,1365.7003174,1.2222222
102,66,2232.1384,31.4921303,0.0
103,67,2387.701,8.0843916,0.0
104,68,2446.3884,8.9915905,0.0
105,69,3112.701,0.2518002,0.0
106,6,2003.4197,0.0,0.0
107,70,3202.2947,0.2155947,0.0
108,71,1614.4509,2.8620958,0.0
109,72,1618.6384,9.2937117,0.0
110,73,1642.5759,0.9854822,0.0
111,74,1634.2009,0.0,0.4444444
112,75,1605.6072,0.0,0.1111111
113,76,1579.0759,0.0,0.6666667
114,77,1595.2634,3386.9089355,1.7777778
115,78,1679.0759,1173.4892578,1.0
116,79,1789.5134,88.2040787,0.3333333
117,7,1990.4822,7.0934916,0.0
118,80,2359.1697,5.5981483,0.0
119,81,2662.076,10.5608168,0.0
120,82,2694.9197,91.487587,0.0
121,83,3297.2634,0.2239594,0.0
122,84,3451.0134,0.0,0.0
123,85,1548.7322,0.1480488,0.0
124,86,1558.2947,13.7784929,0.0
125,87,1581.2009,14.103981,0.0
126,88,1602.9197,10.229516,0.2222222
127,89,1544.5447,21.0569172,0.3333333
128,8,2455.4822,3.4043689,0.0
129,90,1579.1384,831.0671997,1.0
130,91,1588.4197,846.8631592,1.5555556
131,92,1645.9197,483.6311646,0.8888889
132,93,1784.6384,1.4881427,0.0
133,94,2124.7947,1.6126667,0.0
134,95,2383.3572,3.877877,0.0
135,96,2619.7634,7.4796453,0.0
136,97,2963.6384,0.3759846,0.0
137,98,3348.576,0.0,0.0
138,99,1499.9197,0.6253365,0.0
139,9,2193.6697,0.6862374,0.0
140,Boulder,1596.5759,5.9120688,0.6666667
141,Chatfield Reservoir,1678.2947,0.0,0.2222222
142,East Plains,1773.7322,4.2667007,0.2222222
143,Evergreen,2259.076,392.4452209,0.2222222
144,Five Points,1602.0759,5409.29834,1.8888888
145,Highlands Ranch,1749.5134,2928.149658,1.1111112
146,Idaho Springs,2602.6072,0.2824137,0.2222222
147,Rocky Flats,1729.9197,0.2103525,0.0
148,South Table,1756.7634,77.2322769,0.4444444
149,Sunnyside,1582.5134,2455.950928,1.6666666
150,Welby,1566.7634,83.7331009,1.2222222
