,3,5,6,7,0,1,2,4,mean
run,1__1503_153145,3__1503_154434,6__1503_155724,9__1503_161002,12__1503_162259,15__1503_163647,18__1503_165116,24__1503_170723,
Evergreen_R2,0.963437155,0.896063554,0.837795176,0.834522694,0.822298503,0.823504168,0.81324236,0.811046881,0.850238811
Idaho Springs_R2,0.939034035,0.807648231,0.70718516,0.69931139,0.661402902,0.649312935,0.636814695,0.646180991,0.718361293
Five Points_R2,0.943830221,0.858197998,0.802187451,0.767392628,0.772409952,0.758970885,0.741100892,0.730548596,0.796829828
Welby_R2,0.961649616,0.880805669,0.783691936,0.764486766,0.778890565,0.761699779,0.75110274,0.759443255,0.805221291
Highlands Ranch_R2,0.958449411,0.887281415,0.838493282,0.819729117,0.813516144,0.798640733,0.768242839,0.780287551,0.833080061
Rocky Flats_R2,0.937468881,0.835791536,0.73383058,0.704480749,0.708693519,0.673492523,0.691874019,0.656786324,0.742802266
Boulder_R2,0.95634308,0.896042765,0.845766058,0.836152172,0.808592,0.807197991,0.800745657,0.808408075,0.844905975
Chatfield Reservoir_R2,0.959343336,0.894572918,0.856122564,0.835255614,0.825860787,0.82384753,0.815341604,0.801764865,0.851513652
Sunnyside_R2,0.957934965,0.90120261,0.860233046,0.846068691,0.845798804,0.828161588,0.813175402,0.816969238,0.858693043
East Plains_R2,0.942936218,0.832705608,0.741394187,0.716603439,0.698177762,0.687286692,0.675382794,0.673316431,0.745975391
South Table_R2,0.94888734,0.888965519,0.840049737,0.828601905,0.812439489,0.79043402,0.781154912,0.798975122,0.836188506
R2_mean,0.951755842,0.870843439,0.804249925,0.78660047,0.777098221,0.763868077,0.75347072,0.753066121,0.807619102
