,hour,missing_site,actual,prediction
0,2023-05-10 23:00:00,Evergreen,39.0,39.02613067627
1,2023-05-10 23:00:00,Idaho Springs,54.0,43.680286407471
2,2023-05-10 23:00:00,Five Points,38.0,32.913513183594
3,2023-05-10 23:00:00,Welby,44.0,35.918361663818
4,2023-05-10 23:00:00,Highlands Ranch,36.0,37.397186279297
5,2023-05-10 23:00:00,Rocky Flats,49.0,41.321846008301
6,2023-05-10 23:00:00,Boulder,46.0,41.158065795898
7,2023-05-10 23:00:00,Chatfield Reservoir,46.0,39.107120513916
8,2023-05-10 23:00:00,Sunnyside,42.0,35.057243347168
9,2023-05-10 23:00:00,East Plains,37.0,41.646076202393
10,2023-05-10 23:00:00,South Table,45.0,41.950988769531
11,2023-05-11 00:00:00,Evergreen,49.0,34.604106903076
12,2023-05-11 00:00:00,Idaho Springs,49.0,39.530967712402
13,2023-05-11 00:00:00,Five Points,33.0,33.200572967529
14,2023-05-11 00:00:00,Welby,35.0,34.905097961426
15,2023-05-11 00:00:00,Highlands Ranch,34.0,33.410717010498
16,2023-05-11 00:00:00,Rocky Flats,47.0,37.772075653076
17,2023-05-11 00:00:00,Boulder,40.0,38.153903961182
18,2023-05-11 00:00:00,Chatfield Reservoir,44.0,34.954555511475
19,2023-05-11 00:00:00,Sunnyside,27.0,34.024974822998
20,2023-05-11 00:00:00,East Plains,47.0,36.248714447021
21,2023-05-11 00:00:00,South Table,40.0,34.936714172363
22,2023-05-11 01:00:00,Evergreen,50.0,37.343643188477
23,2023-05-11 01:00:00,Idaho Springs,56.0,39.522281646729
24,2023-05-11 01:00:00,Five Points,33.0,29.779956817627
25,2023-05-11 01:00:00,Welby,30.0,30.859273910522
26,2023-05-11 01:00:00,Highlands Ranch,38.0,31.924493789673
27,2023-05-11 01:00:00,Rocky Flats,40.0,38.112434387207
28,2023-05-11 01:00:00,Boulder,39.0,37.358436584473
29,2023-05-11 01:00:00,Chatfield Reservoir,50.0,34.607326507568
30,2023-05-11 01:00:00,Sunnyside,34.0,29.315034866333
31,2023-05-11 01:00:00,East Plains,50.0,38.779956817627
32,2023-05-11 01:00:00,South Table,46.0,34.007923126221
