,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_6,52.33127,o3_sim_Evergreen_6,39.620354199999994,-105.33872,5.38e-05
o3_sim_Idaho Springs_6,49.633625,o3_sim_Idaho Springs_6,39.7924909,-105.49127,2.81e-05
o3_sim_Five Points_6,43.583996,o3_sim_Five Points_6,39.7511138,-104.987625,7.02e-05
o3_sim_Welby_6,50.154705,o3_sim_Welby_6,39.838022699999996,-104.94984,9.63e-05
o3_sim_Highlands Ranch_6,54.658295,o3_sim_Highlands Ranch_6,39.5678591,-104.957193,2.79e-05
o3_sim_Rocky Flats_6,61.302162,o3_sim_Rocky Flats_6,39.9127638,-105.188587,3.52e-05
o3_sim_Boulder_6,62.39138,o3_sim_Boulder_6,40.0700079,-105.220238,8.1e-06
o3_sim_Chatfield Reservoir_6,59.529198,o3_sim_Chatfield Reservoir_6,39.5344029,-105.070358,8.51e-05
o3_sim_Sunnyside_6,56.477013,o3_sim_Sunnyside_6,39.779448300000006,-105.00518,4.17e-05
o3_sim_East Plains_6,61.189346,o3_sim_East Plains_6,39.6384388,-104.569335,8.32e-05
o3_sim_South Table_6,63.62912,o3_sim_South Table_6,39.7436863,-105.177989,3.77e-05
o3_sim_Evergreen_6,52.33127,o3_sim_Evergreen_6,39.620319699999996,-105.33872,8.83e-05
o3_sim_Idaho Springs_6,49.633625,o3_sim_Idaho Springs_6,39.792479,-105.49127,4e-05
o3_sim_Five Points_6,43.583996,o3_sim_Five Points_6,39.751114,-104.987625,7e-05
o3_sim_Welby_6,50.154705,o3_sim_Welby_6,39.8380255,-104.94984,9.35e-05
o3_sim_Highlands Ranch_6,54.658295,o3_sim_Highlands Ranch_6,39.5678517,-104.957193,3.53e-05
o3_sim_Rocky Flats_6,61.302162,o3_sim_Rocky Flats_6,39.9127224,-105.188587,7.66e-05
o3_sim_Boulder_6,62.39138,o3_sim_Boulder_6,40.0699267,-105.220238,8.93e-05
o3_sim_Chatfield Reservoir_6,59.529198,o3_sim_Chatfield Reservoir_6,39.5344173,-105.070358,7.07e-05
o3_sim_Sunnyside_6,56.477013,o3_sim_Sunnyside_6,39.779407600000006,-105.00518,8.24e-05
o3_sim_East Plains_6,61.189346,o3_sim_East Plains_6,39.6384732,-104.569335,4.88e-05
o3_sim_South Table_6,63.62912,o3_sim_South Table_6,39.7436424,-105.177989,8.16e-05
