,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_15,28.450766,o3_sim_Evergreen_15,39.620337299999996,-105.33872,7.07e-05
o3_sim_Idaho Springs_15,45.210102,o3_sim_Idaho Springs_15,39.7924435,-105.49127,7.55e-05
o3_sim_Five Points_15,18.67001,o3_sim_Five Points_15,39.7510852,-104.987625,9.88e-05
o3_sim_Welby_15,19.013762,o3_sim_Welby_15,39.8380485,-104.94984,7.05e-05
o3_sim_Highlands Ranch_15,35.769054,o3_sim_Highlands Ranch_15,39.5678789,-104.957193,8.1e-06
o3_sim_Rocky Flats_15,38.3111,o3_sim_Rocky Flats_15,39.9127259,-105.188587,7.31e-05
o3_sim_Boulder_15,32.626972,o3_sim_Boulder_15,40.0699254,-105.220238,9.06e-05
o3_sim_Chatfield Reservoir_15,30.121418,o3_sim_Chatfield Reservoir_15,39.5344308,-105.070358,5.72e-05
o3_sim_Sunnyside_15,24.37677,o3_sim_Sunnyside_15,39.7794065,-105.00518,8.35e-05
o3_sim_East Plains_15,39.5979,o3_sim_East Plains_15,39.6385026,-104.569335,1.94e-05
o3_sim_140,46.73768,o3_sim_140,40.2452011,-105.7200012,3.68e-05
o3_sim_1,40.054466,o3_sim_1,39.3174019,-104.3799973,8e-07
o3_sim_2,28.184158,o3_sim_2,39.3174019,-104.4830017,3.49e-05
o3_sim_3,24.273335,o3_sim_3,39.3174019,-104.5859985,1.88e-05
o3_sim_4,21.940727,o3_sim_4,39.3174019,-104.6900024,6.17e-05
o3_sim_5,29.497684,o3_sim_5,39.3174019,-104.7929993,3.32e-05
o3_sim_6,28.649754,o3_sim_6,39.3174019,-104.8960037,2.76e-05
o3_sim_7,27.286764,o3_sim_7,39.3174019,-104.9990005,9.21e-05
o3_sim_8,29.406254,o3_sim_8,39.3174019,-105.1019974,9.07e-05
o3_sim_9,33.69886,o3_sim_9,39.3174019,-105.2050018,8.75e-05
o3_sim_10,33.3046,o3_sim_10,39.3174019,-105.3079987,7.99e-05
o3_sim_11,35.681892,o3_sim_11,39.3174019,-105.4110031,1.9e-06
o3_sim_12,46.781002,o3_sim_12,39.3174019,-105.5139999,8.52e-05
o3_sim_13,45.825832,o3_sim_13,39.3174019,-105.6169968,8.48e-05
o3_sim_14,43.944798,o3_sim_14,39.3174019,-105.7200012,2.9e-06
o3_sim_15,30.399612,o3_sim_15,39.4205017,-104.3799973,8.51e-05
o3_sim_16,34.931458,o3_sim_16,39.4205017,-104.4830017,1.61e-05
o3_sim_17,27.026346,o3_sim_17,39.4205017,-104.5859985,2.99e-05
o3_sim_18,24.311693,o3_sim_18,39.4205017,-104.6900024,1.76e-05
o3_sim_19,23.76496,o3_sim_19,39.4205017,-104.7929993,3.24e-05
o3_sim_20,27.95675,o3_sim_20,39.4205017,-104.8960037,3e-05
o3_sim_21,29.618832,o3_sim_21,39.4205017,-104.9990005,5.56e-05
o3_sim_22,35.79271,o3_sim_22,39.4205017,-105.1019974,2.47e-05
o3_sim_23,32.821953,o3_sim_23,39.4205017,-105.2050018,6.1e-05
o3_sim_24,39.522015,o3_sim_24,39.4205017,-105.3079987,1.92e-05
o3_sim_25,36.444653,o3_sim_25,39.4205017,-105.4110031,5.05e-05
o3_sim_26,40.65195,o3_sim_26,39.4205017,-105.5139999,4.36e-05
o3_sim_27,41.687645,o3_sim_27,39.4205017,-105.6169968,8.58e-05
o3_sim_28,43.19587,o3_sim_28,39.4205017,-105.7200012,1.46e-05
o3_sim_29,36.756546,o3_sim_29,39.5236015,-104.3799973,4.66e-05
o3_sim_30,33.338898,o3_sim_30,39.5236015,-104.4830017,4.26e-05
o3_sim_31,27.47208,o3_sim_31,39.5236015,-104.5859985,7.3e-05
o3_sim_32,33.16975,o3_sim_32,39.5236015,-104.6900024,8.97e-05
o3_sim_33,21.780495,o3_sim_33,39.5236015,-104.7929993,8.74e-05
o3_sim_34,35.447487,o3_sim_34,39.5236015,-104.8960037,8.47e-05
o3_sim_35,31.34581,o3_sim_35,39.5236015,-104.9990005,6.21e-05
o3_sim_36,36.315056,o3_sim_36,39.5236015,-105.1019974,5.22e-05
o3_sim_37,34.88181,o3_sim_37,39.5236015,-105.2050018,6.68e-05
o3_sim_38,36.340584,o3_sim_38,39.5236015,-105.3079987,3.25e-05
o3_sim_39,45.219204,o3_sim_39,39.5236015,-105.4110031,4.45e-05
o3_sim_40,39.78183,o3_sim_40,39.5236015,-105.5139999,5.92e-05
o3_sim_41,37.61017,o3_sim_41,39.5236015,-105.6169968,5.3e-06
o3_sim_42,38.873882,o3_sim_42,39.5236015,-105.7200012,8.06e-05
o3_sim_43,34.485695,o3_sim_43,39.6265984,-104.3799973,3.86e-05
o3_sim_44,41.326317,o3_sim_44,39.6265984,-104.4830017,8.53e-05
o3_sim_45,35.254025,o3_sim_45,39.6265984,-104.5859985,1.38e-05
o3_sim_46,35.18802,o3_sim_46,39.6265984,-104.6900024,5.1e-05
o3_sim_47,20.98394,o3_sim_47,39.6265984,-104.7929993,5.97e-05
o3_sim_48,15.934004,o3_sim_48,39.6265984,-104.8960037,6.61e-05
o3_sim_49,13.973148,o3_sim_49,39.6265984,-104.9990005,7.63e-05
o3_sim_50,25.7297,o3_sim_50,39.6265984,-105.1019974,9.98e-05
o3_sim_51,36.440815,o3_sim_51,39.6265984,-105.2050018,3.81e-05
o3_sim_52,25.547325,o3_sim_52,39.6265984,-105.3079987,1.59e-05
o3_sim_53,33.2819,o3_sim_53,39.6265984,-105.4110031,6.69e-05
o3_sim_54,33.339275,o3_sim_54,39.6265984,-105.5139999,5.41e-05
o3_sim_55,36.502167,o3_sim_55,39.6265984,-105.6169968,5.45e-05
o3_sim_56,38.55837,o3_sim_56,39.6265984,-105.7200012,5.95e-05
o3_sim_57,31.974874,o3_sim_57,39.7296982,-104.3799973,4.74e-05
o3_sim_58,35.395916,o3_sim_58,39.7296982,-104.4830017,7.45e-05
o3_sim_59,27.94459,o3_sim_59,39.7296982,-104.5859985,2.28e-05
o3_sim_60,18.491026,o3_sim_60,39.7296982,-104.6900024,2.98e-05
o3_sim_61,21.068153,o3_sim_61,39.7296982,-104.7929993,4.76e-05
