,o3,site,latitude,longitude,randoms
o3_sim_Idaho Springs_1,43.58788,o3_sim_Idaho Springs_1,39.7924274,-105.49127,9.16e-05
o3_sim_Five Points_1,25.258518,o3_sim_Five Points_1,39.7511669,-104.987625,1.71e-05
o3_sim_Welby_1,15.774395,o3_sim_Welby_1,39.838037899999996,-104.94984,8.11e-05
o3_sim_Highlands Ranch_1,33.38414,o3_sim_Highlands Ranch_1,39.5678621,-104.957193,2.49e-05
o3_sim_Rocky Flats_1,45.5191,o3_sim_Rocky Flats_1,39.9127504,-105.188587,4.86e-05
o3_sim_Boulder_1,33.206642,o3_sim_Boulder_1,40.069928000000004,-105.220238,8.8e-05
o3_sim_Chatfield Reservoir_1,29.291653,o3_sim_Chatfield Reservoir_1,39.534395800000006,-105.070358,9.22e-05
o3_sim_Sunnyside_1,26.169178,o3_sim_Sunnyside_1,39.779408700000005,-105.00518,8.13e-05
o3_sim_East Plains_1,41.47999,o3_sim_East Plains_1,39.6384993,-104.569335,2.27e-05
o3_sim_South Table_1,39.478466,o3_sim_South Table_1,39.7436606,-105.177989,6.34e-05
o3_sim_Idaho Springs_1,43.58788,o3_sim_Idaho Springs_1,39.7924895,-105.49127,2.95e-05
o3_sim_Five Points_1,25.258518,o3_sim_Five Points_1,39.7510969,-104.987625,8.71e-05
o3_sim_Welby_1,15.774395,o3_sim_Welby_1,39.8380668,-104.94984,5.22e-05
o3_sim_Highlands Ranch_1,33.38414,o3_sim_Highlands Ranch_1,39.5678298,-104.957193,5.72e-05
o3_sim_Rocky Flats_1,45.5191,o3_sim_Rocky Flats_1,39.9127341,-105.188587,6.49e-05
o3_sim_Boulder_1,33.206642,o3_sim_Boulder_1,40.069952300000004,-105.220238,6.37e-05
o3_sim_Chatfield Reservoir_1,29.291653,o3_sim_Chatfield Reservoir_1,39.5344016,-105.070358,8.64e-05
o3_sim_Sunnyside_1,26.169178,o3_sim_Sunnyside_1,39.7794052,-105.00518,8.48e-05
o3_sim_East Plains_1,41.47999,o3_sim_East Plains_1,39.6384391,-104.569335,8.29e-05
o3_sim_South Table_1,39.478466,o3_sim_South Table_1,39.7436285,-105.177989,9.55e-05
o3_sim_Idaho Springs_1,43.58788,o3_sim_Idaho Springs_1,39.7924459,-105.49127,7.31e-05
o3_sim_Five Points_1,25.258518,o3_sim_Five Points_1,39.751178,-104.987625,6e-06
o3_sim_Welby_1,15.774395,o3_sim_Welby_1,39.8380821,-104.94984,3.69e-05
o3_sim_Highlands Ranch_1,33.38414,o3_sim_Highlands Ranch_1,39.5678492,-104.957193,3.78e-05
o3_sim_Rocky Flats_1,45.5191,o3_sim_Rocky Flats_1,39.9127502,-105.188587,4.88e-05
o3_sim_Boulder_1,33.206642,o3_sim_Boulder_1,40.069954,-105.220238,6.2e-05
o3_sim_Chatfield Reservoir_1,29.291653,o3_sim_Chatfield Reservoir_1,39.534467600000006,-105.070358,2.04e-05
o3_sim_Sunnyside_1,26.169178,o3_sim_Sunnyside_1,39.7794241,-105.00518,6.59e-05
o3_sim_East Plains_1,41.47999,o3_sim_East Plains_1,39.638517300000004,-104.569335,4.7e-06
o3_sim_South Table_1,39.478466,o3_sim_South Table_1,39.7436621,-105.177989,6.19e-05
o3_sim_Idaho Springs_1,43.58788,o3_sim_Idaho Springs_1,39.792502,-105.49127,1.7e-05
o3_sim_Five Points_1,25.258518,o3_sim_Five Points_1,39.751106400000005,-104.987625,7.76e-05
o3_sim_Welby_1,15.774395,o3_sim_Welby_1,39.8380602,-104.94984,5.88e-05
o3_sim_Highlands Ranch_1,33.38414,o3_sim_Highlands Ranch_1,39.5678525,-104.957193,3.45e-05
o3_sim_Rocky Flats_1,45.5191,o3_sim_Rocky Flats_1,39.9127019,-105.188587,9.71e-05
o3_sim_Boulder_1,33.206642,o3_sim_Boulder_1,40.06998,-105.220238,3.6e-05
o3_sim_Chatfield Reservoir_1,29.291653,o3_sim_Chatfield Reservoir_1,39.5344381,-105.070358,4.99e-05
o3_sim_Sunnyside_1,26.169178,o3_sim_Sunnyside_1,39.7794694,-105.00518,2.06e-05
o3_sim_East Plains_1,41.47999,o3_sim_East Plains_1,39.6385212,-104.569335,8e-07
o3_sim_South Table_1,39.478466,o3_sim_South Table_1,39.7436796,-105.177989,4.44e-05
o3_sim_Idaho Springs_1,43.58788,o3_sim_Idaho Springs_1,39.7924862,-105.49127,3.28e-05
o3_sim_Five Points_1,25.258518,o3_sim_Five Points_1,39.751152000000005,-104.987625,3.2e-05
o3_sim_Welby_1,15.774395,o3_sim_Welby_1,39.838071299999996,-104.94984,4.77e-05
o3_sim_Highlands Ranch_1,33.38414,o3_sim_Highlands Ranch_1,39.5678761,-104.957193,1.09e-05
o3_sim_Rocky Flats_1,45.5191,o3_sim_Rocky Flats_1,39.9127846,-105.188587,1.44e-05
o3_sim_Boulder_1,33.206642,o3_sim_Boulder_1,40.069956600000005,-105.220238,5.94e-05
o3_sim_Chatfield Reservoir_1,29.291653,o3_sim_Chatfield Reservoir_1,39.534472900000004,-105.070358,1.51e-05
o3_sim_Sunnyside_1,26.169178,o3_sim_Sunnyside_1,39.7794879,-105.00518,2.1e-06
o3_sim_East Plains_1,41.47999,o3_sim_East Plains_1,39.6384739,-104.569335,4.81e-05
o3_sim_South Table_1,39.478466,o3_sim_South Table_1,39.7436753,-105.177989,4.87e-05
o3_sim_140,46.73768,o3_sim_140,40.2452011,-105.7200012,2.15e-05
o3_sim_1,40.054466,o3_sim_1,39.3174019,-104.3799973,6.4e-05
o3_sim_2,28.184158,o3_sim_2,39.3174019,-104.4830017,5.12e-05
o3_sim_3,24.273335,o3_sim_3,39.3174019,-104.5859985,3.34e-05
o3_sim_4,21.940727,o3_sim_4,39.3174019,-104.6900024,9.67e-05
o3_sim_5,29.497684,o3_sim_5,39.3174019,-104.7929993,7.26e-05
o3_sim_6,28.649754,o3_sim_6,39.3174019,-104.8960037,5.33e-05
o3_sim_7,27.286764,o3_sim_7,39.3174019,-104.9990005,4.12e-05
o3_sim_8,29.406254,o3_sim_8,39.3174019,-105.1019974,5.53e-05
o3_sim_9,33.69886,o3_sim_9,39.3174019,-105.2050018,7.72e-05
o3_sim_10,33.3046,o3_sim_10,39.3174019,-105.3079987,7.4e-06
o3_sim_11,35.681892,o3_sim_11,39.3174019,-105.4110031,8.54e-05
o3_sim_12,46.781002,o3_sim_12,39.3174019,-105.5139999,8.42e-05
o3_sim_13,45.825832,o3_sim_13,39.3174019,-105.6169968,4.8e-06
o3_sim_14,43.944798,o3_sim_14,39.3174019,-105.7200012,4.04e-05
o3_sim_15,30.399612,o3_sim_15,39.4205017,-104.3799973,8.49e-05
o3_sim_16,34.931458,o3_sim_16,39.4205017,-104.4830017,5.29e-05
o3_sim_17,27.026346,o3_sim_17,39.4205017,-104.5859985,8.62e-05
o3_sim_18,24.311693,o3_sim_18,39.4205017,-104.6900024,8.15e-05
o3_sim_19,23.76496,o3_sim_19,39.4205017,-104.7929993,4.14e-05
o3_sim_20,27.95675,o3_sim_20,39.4205017,-104.8960037,4.83e-05
o3_sim_21,29.618832,o3_sim_21,39.4205017,-104.9990005,5.01e-05
o3_sim_22,35.79271,o3_sim_22,39.4205017,-105.1019974,2.22e-05
o3_sim_23,32.821953,o3_sim_23,39.4205017,-105.2050018,1.87e-05
o3_sim_24,39.522015,o3_sim_24,39.4205017,-105.3079987,3.62e-05
o3_sim_25,36.444653,o3_sim_25,39.4205017,-105.4110031,7e-07
o3_sim_26,40.65195,o3_sim_26,39.4205017,-105.5139999,9.56e-05
o3_sim_27,41.687645,o3_sim_27,39.4205017,-105.6169968,9.38e-05
o3_sim_28,43.19587,o3_sim_28,39.4205017,-105.7200012,9.17e-05
o3_sim_29,36.756546,o3_sim_29,39.5236015,-104.3799973,9.49e-05
o3_sim_30,33.338898,o3_sim_30,39.5236015,-104.4830017,4.07e-05
o3_sim_31,27.47208,o3_sim_31,39.5236015,-104.5859985,2.82e-05
o3_sim_32,33.16975,o3_sim_32,39.5236015,-104.6900024,9.6e-06
o3_sim_33,21.780495,o3_sim_33,39.5236015,-104.7929993,6.6e-06
o3_sim_34,35.447487,o3_sim_34,39.5236015,-104.8960037,6e-05
o3_sim_35,31.34581,o3_sim_35,39.5236015,-104.9990005,4.68e-05
o3_sim_36,36.315056,o3_sim_36,39.5236015,-105.1019974,2.03e-05
o3_sim_37,34.88181,o3_sim_37,39.5236015,-105.2050018,1.2e-06
o3_sim_38,36.340584,o3_sim_38,39.5236015,-105.3079987,5.6e-06
o3_sim_39,45.219204,o3_sim_39,39.5236015,-105.4110031,6.17e-05
o3_sim_40,39.78183,o3_sim_40,39.5236015,-105.5139999,4.41e-05
o3_sim_41,37.61017,o3_sim_41,39.5236015,-105.6169968,9.18e-05
o3_sim_42,38.873882,o3_sim_42,39.5236015,-105.7200012,8.88e-05
o3_sim_43,34.485695,o3_sim_43,39.6265984,-104.3799973,9.87e-05
o3_sim_44,41.326317,o3_sim_44,39.6265984,-104.4830017,1.6e-05
o3_sim_45,35.254025,o3_sim_45,39.6265984,-104.5859985,7.08e-05
o3_sim_46,35.18802,o3_sim_46,39.6265984,-104.6900024,3.96e-05
o3_sim_47,20.98394,o3_sim_47,39.6265984,-104.7929993,5.5e-06
o3_sim_48,15.934004,o3_sim_48,39.6265984,-104.8960037,4.66e-05
o3_sim_49,13.973148,o3_sim_49,39.6265984,-104.9990005,3.19e-05
o3_sim_50,25.7297,o3_sim_50,39.6265984,-105.1019974,8.05e-05
o3_sim_51,36.440815,o3_sim_51,39.6265984,-105.2050018,3.18e-05
o3_sim_52,25.547325,o3_sim_52,39.6265984,-105.3079987,8.21e-05
o3_sim_53,33.2819,o3_sim_53,39.6265984,-105.4110031,4.27e-05
o3_sim_54,33.339275,o3_sim_54,39.6265984,-105.5139999,3.15e-05
o3_sim_55,36.502167,o3_sim_55,39.6265984,-105.6169968,7.86e-05
o3_sim_56,38.55837,o3_sim_56,39.6265984,-105.7200012,4.98e-05
o3_sim_57,31.974874,o3_sim_57,39.7296982,-104.3799973,9.09e-05
o3_sim_58,35.395916,o3_sim_58,39.7296982,-104.4830017,7.36e-05
o3_sim_59,27.94459,o3_sim_59,39.7296982,-104.5859985,9.01e-05
o3_sim_60,18.491026,o3_sim_60,39.7296982,-104.6900024,2.01e-05
o3_sim_61,21.068153,o3_sim_61,39.7296982,-104.7929993,3.63e-05
o3_sim_62,18.761484,o3_sim_62,39.7296982,-104.8960037,6.47e-05
o3_sim_63,8.12199,o3_sim_63,39.7296982,-104.9990005,2.6e-05
