,hour,missing_site,actual,prediction
0,2023-06-10 10:00:00,Evergreen,26.0,31.582578659058
1,2023-06-10 10:00:00,Idaho Springs,42.0,38.86722946167
2,2023-06-10 10:00:00,Five Points,31.0,23.114959716797
3,2023-06-10 10:00:00,Welby,15.0,15.071957588196
4,2023-06-10 10:00:00,Highlands Ranch,39.0,35.547050476074
5,2023-06-10 10:00:00,Rocky Flats,43.0,40.722778320312
6,2023-06-10 10:00:00,Boulder,30.0,26.811380386353
7,2023-06-10 10:00:00,Chatfield Reservoir,27.0,29.763082504272
8,2023-06-10 10:00:00,Sunnyside,19.0,22.178525924683
9,2023-06-10 10:00:00,East Plains,39.0,32.324691772461
10,2023-06-10 10:00:00,South Table,40.0,38.254398345947
11,2023-06-10 11:00:00,Evergreen,22.0,31.952474594116
12,2023-06-10 11:00:00,Idaho Springs,43.0,40.641185760498
13,2023-06-10 11:00:00,Five Points,25.0,25.872627258301
14,2023-06-10 11:00:00,Welby,8.0,14.11433506012
15,2023-06-10 11:00:00,Highlands Ranch,34.0,35.201553344727
16,2023-06-10 11:00:00,Rocky Flats,44.0,38.588813781738
17,2023-06-10 11:00:00,Boulder,32.0,30.069381713867
18,2023-06-10 11:00:00,Chatfield Reservoir,30.0,28.201597213745
19,2023-06-10 11:00:00,Sunnyside,19.0,19.949419021606
20,2023-06-10 11:00:00,East Plains,36.0,38.347080230713
21,2023-06-10 11:00:00,South Table,39.0,35.960662841797
22,2023-06-10 12:00:00,Evergreen,21.0,33.372276306152
23,2023-06-10 12:00:00,Idaho Springs,42.0,40.653720855713
24,2023-06-10 12:00:00,Five Points,22.0,20.989748001099
25,2023-06-10 12:00:00,Welby,9.0,10.996920585632
26,2023-06-10 12:00:00,Highlands Ranch,31.0,31.923740386963
27,2023-06-10 12:00:00,Rocky Flats,45.0,40.300758361816
28,2023-06-10 12:00:00,Boulder,31.0,30.942848205566
29,2023-06-10 12:00:00,Chatfield Reservoir,26.0,31.286743164062
30,2023-06-10 12:00:00,Sunnyside,22.0,19.303876876831
31,2023-06-10 12:00:00,East Plains,39.0,34.498523712158
32,2023-06-10 12:00:00,South Table,38.0,36.115600585938
33,2023-06-10 13:00:00,Evergreen,25.0,33.909156799316
34,2023-06-10 13:00:00,Idaho Springs,46.0,41.22144317627
35,2023-06-10 13:00:00,Five Points,19.0,24.134944915771
36,2023-06-10 13:00:00,Welby,19.0,17.73659324646
37,2023-06-10 13:00:00,Highlands Ranch,31.0,31.775722503662
38,2023-06-10 13:00:00,Rocky Flats,45.0,41.975841522217
39,2023-06-10 13:00:00,Boulder,29.0,32.659759521484
40,2023-06-10 13:00:00,Chatfield Reservoir,29.0,30.390405654907
41,2023-06-10 13:00:00,Sunnyside,18.0,24.741153717041
42,2023-06-10 13:00:00,East Plains,39.0,39.651885986328
43,2023-06-10 13:00:00,South Table,40.0,37.316967010498
44,2023-06-10 14:00:00,Evergreen,37.0,38.658164978027
45,2023-06-10 14:00:00,Idaho Springs,54.0,45.935180664062
46,2023-06-10 14:00:00,Five Points,31.0,25.63720703125
47,2023-06-10 14:00:00,Welby,32.0,28.591344833374
48,2023-06-10 14:00:00,Highlands Ranch,39.0,35.45405960083
49,2023-06-10 14:00:00,Rocky Flats,55.0,45.366195678711
50,2023-06-10 14:00:00,Boulder,35.0,34.700267791748
51,2023-06-10 14:00:00,Chatfield Reservoir,37.0,35.7282371521
52,2023-06-10 14:00:00,Sunnyside,28.0,25.512239456177
53,2023-06-10 14:00:00,East Plains,40.0,42.449550628662
54,2023-06-10 14:00:00,South Table,49.0,42.695384979248
55,2023-06-10 15:00:00,Evergreen,50.0,43.75972366333
56,2023-06-10 15:00:00,Idaho Springs,56.0,51.570812225342
57,2023-06-10 15:00:00,Five Points,37.0,39.408885955811
58,2023-06-10 15:00:00,Welby,42.0,38.873439788818
59,2023-06-10 15:00:00,Highlands Ranch,47.0,44.219532012939
60,2023-06-10 15:00:00,Rocky Flats,52.0,54.274814605713
61,2023-06-10 15:00:00,Boulder,44.0,42.07746887207
62,2023-06-10 15:00:00,Chatfield Reservoir,45.0,42.876396179199
63,2023-06-10 15:00:00,Sunnyside,40.0,38.262218475342
64,2023-06-10 15:00:00,East Plains,43.0,44.039741516113
65,2023-06-10 15:00:00,South Table,53.0,51.248725891113
66,2023-06-10 16:00:00,Evergreen,56.0,46.968116760254
67,2023-06-10 16:00:00,Idaho Springs,56.0,53.550182342529
68,2023-06-10 16:00:00,Five Points,47.0,44.873374938965
69,2023-06-10 16:00:00,Welby,49.0,48.27774810791
70,2023-06-10 16:00:00,Highlands Ranch,53.0,52.038890838623
71,2023-06-10 16:00:00,Rocky Flats,59.0,51.161109924316
72,2023-06-10 16:00:00,Boulder,48.0,49.211978912354
73,2023-06-10 16:00:00,Chatfield Reservoir,54.0,51.117729187012
74,2023-06-10 16:00:00,Sunnyside,52.0,46.896984100342
75,2023-06-10 16:00:00,East Plains,57.0,47.582340240479
76,2023-06-10 16:00:00,South Table,52.0,54.414524078369
77,2023-06-10 17:00:00,Evergreen,59.0,48.214149475098
78,2023-06-10 17:00:00,Idaho Springs,55.0,53.774772644043
79,2023-06-10 17:00:00,Five Points,56.0,55.845237731934
80,2023-06-10 17:00:00,Welby,58.0,55.715595245361
81,2023-06-10 17:00:00,Highlands Ranch,59.0,57.046936035156
82,2023-06-10 17:00:00,Rocky Flats,62.0,60.417964935303
83,2023-06-10 17:00:00,Boulder,55.0,51.829387664795
84,2023-06-10 17:00:00,Chatfield Reservoir,62.0,57.678821563721
85,2023-06-10 17:00:00,Sunnyside,60.0,58.025817871094
86,2023-06-10 17:00:00,East Plains,63.0,59.799942016602
87,2023-06-10 17:00:00,South Table,60.0,53.2155418396
