,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_1,53.58675,o3_sim_Evergreen_1,39.6203904,-105.33872,1.76e-05
o3_sim_Idaho Springs_1,50.662964,o3_sim_Idaho Springs_1,39.7924597,-105.49127,5.93e-05
o3_sim_Five Points_1,59.990883,o3_sim_Five Points_1,39.7511164,-104.987625,6.76e-05
o3_sim_Welby_1,57.29783,o3_sim_Welby_1,39.8381188,-104.94984,2e-07
o3_sim_Highlands Ranch_1,56.846027,o3_sim_Highlands Ranch_1,39.567802,-104.957193,8.5e-05
o3_sim_Rocky Flats_1,49.778458,o3_sim_Rocky Flats_1,39.9127429,-105.188587,5.61e-05
o3_sim_Boulder_1,48.284233,o3_sim_Boulder_1,40.0700094,-105.220238,6.6e-06
o3_sim_Chatfield Reservoir_1,64.275314,o3_sim_Chatfield Reservoir_1,39.534390200000004,-105.070358,9.78e-05
o3_sim_Sunnyside_1,57.02869,o3_sim_Sunnyside_1,39.7794864,-105.00518,3.6e-06
o3_sim_East Plains_1,30.575554,o3_sim_East Plains_1,39.6384495,-104.569335,7.25e-05
