,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_12,22.157463,o3_sim_Evergreen_12,39.620396199999995,-105.33872,1.18e-05
o3_sim_Idaho Springs_12,37.243793,o3_sim_Idaho Springs_12,39.7924784,-105.49127,4.06e-05
o3_sim_Five Points_12,27.323895,o3_sim_Five Points_12,39.751133,-104.987625,5.1e-05
o3_sim_Welby_12,15.332327,o3_sim_Welby_12,39.8381021,-104.94984,1.69e-05
o3_sim_Highlands Ranch_12,33.809982,o3_sim_Highlands Ranch_12,39.567824,-104.957193,6.3e-05
o3_sim_Rocky Flats_12,37.76615,o3_sim_Rocky Flats_12,39.9127027,-105.188587,9.63e-05
o3_sim_Boulder_12,24.073112,o3_sim_Boulder_12,40.0699261,-105.220238,8.99e-05
o3_sim_Chatfield Reservoir_12,35.82337,o3_sim_Chatfield Reservoir_12,39.534470400000004,-105.070358,1.76e-05
o3_sim_Sunnyside_12,23.086678,o3_sim_Sunnyside_12,39.7794429,-105.00518,4.71e-05
o3_sim_East Plains_12,22.040468,o3_sim_East Plains_12,39.638462000000004,-104.569335,6e-05
o3_sim_Evergreen_12,22.157463,o3_sim_Evergreen_12,39.6203534,-105.33872,5.46e-05
o3_sim_Idaho Springs_12,37.243793,o3_sim_Idaho Springs_12,39.7924891,-105.49127,2.99e-05
o3_sim_Five Points_12,27.323895,o3_sim_Five Points_12,39.7511559,-104.987625,2.81e-05
o3_sim_Welby_12,15.332327,o3_sim_Welby_12,39.8380333,-104.94984,8.57e-05
o3_sim_Highlands Ranch_12,33.809982,o3_sim_Highlands Ranch_12,39.5678856,-104.957193,1.4e-06
o3_sim_Rocky Flats_12,37.76615,o3_sim_Rocky Flats_12,39.9127874,-105.188587,1.16e-05
o3_sim_Boulder_12,24.073112,o3_sim_Boulder_12,40.0699896,-105.220238,2.64e-05
o3_sim_Chatfield Reservoir_12,35.82337,o3_sim_Chatfield Reservoir_12,39.534408400000004,-105.070358,7.96e-05
o3_sim_Sunnyside_12,23.086678,o3_sim_Sunnyside_12,39.7794243,-105.00518,6.57e-05
o3_sim_East Plains_12,22.040468,o3_sim_East Plains_12,39.6384539,-104.569335,6.81e-05
o3_sim_140,45.03768,o3_sim_140,40.2452011,-105.7200012,5.13e-05
o3_sim_1,30.407347,o3_sim_1,39.3174019,-104.3799973,9.23e-05
o3_sim_2,25.742859,o3_sim_2,39.3174019,-104.4830017,6.38e-05
o3_sim_3,26.7021,o3_sim_3,39.3174019,-104.5859985,8.42e-05
o3_sim_4,28.336409,o3_sim_4,39.3174019,-104.6900024,2.8e-05
o3_sim_5,29.694382,o3_sim_5,39.3174019,-104.7929993,5.38e-05
o3_sim_6,33.075653,o3_sim_6,39.3174019,-104.8960037,7.54e-05
o3_sim_7,36.987514,o3_sim_7,39.3174019,-104.9990005,5.99e-05
o3_sim_8,24.01214,o3_sim_8,39.3174019,-105.1019974,8.11e-05
o3_sim_9,34.79302,o3_sim_9,39.3174019,-105.2050018,8.38e-05
o3_sim_10,25.495441,o3_sim_10,39.3174019,-105.3079987,7.35e-05
o3_sim_11,33.50724,o3_sim_11,39.3174019,-105.4110031,3.36e-05
o3_sim_12,43.398827,o3_sim_12,39.3174019,-105.5139999,8.13e-05
o3_sim_13,41.498543,o3_sim_13,39.3174019,-105.6169968,1.6e-06
o3_sim_14,45.770077,o3_sim_14,39.3174019,-105.7200012,1.34e-05
o3_sim_15,25.596167,o3_sim_15,39.4205017,-104.3799973,3.78e-05
o3_sim_16,26.247475,o3_sim_16,39.4205017,-104.4830017,6.11e-05
o3_sim_17,25.132206,o3_sim_17,39.4205017,-104.5859985,7.22e-05
o3_sim_18,28.16872,o3_sim_18,39.4205017,-104.6900024,2.62e-05
o3_sim_19,27.8095,o3_sim_19,39.4205017,-104.7929993,1.77e-05
o3_sim_20,24.998652,o3_sim_20,39.4205017,-104.8960037,3.18e-05
o3_sim_21,38.58639,o3_sim_21,39.4205017,-104.9990005,9.95e-05
o3_sim_22,35.455173,o3_sim_22,39.4205017,-105.1019974,5.9e-06
o3_sim_23,36.523697,o3_sim_23,39.4205017,-105.2050018,6.2e-06
o3_sim_24,37.763775,o3_sim_24,39.4205017,-105.3079987,1.15e-05
o3_sim_25,34.267803,o3_sim_25,39.4205017,-105.4110031,5.7e-06
o3_sim_26,42.99178,o3_sim_26,39.4205017,-105.5139999,1.56e-05
o3_sim_27,45.133472,o3_sim_27,39.4205017,-105.6169968,5.24e-05
o3_sim_28,42.488213,o3_sim_28,39.4205017,-105.7200012,6.82e-05
o3_sim_29,23.263334,o3_sim_29,39.5236015,-104.3799973,7.6e-06
o3_sim_30,22.508638,o3_sim_30,39.5236015,-104.4830017,9.8e-06
o3_sim_31,22.565815,o3_sim_31,39.5236015,-104.5859985,7.87e-05
o3_sim_32,24.752615,o3_sim_32,39.5236015,-104.6900024,3.01e-05
o3_sim_33,27.570536,o3_sim_33,39.5236015,-104.7929993,4.64e-05
o3_sim_34,28.948973,o3_sim_34,39.5236015,-104.8960037,1.62e-05
o3_sim_35,37.74807,o3_sim_35,39.5236015,-104.9990005,1.5e-06
o3_sim_36,38.098328,o3_sim_36,39.5236015,-105.1019974,7.26e-05
