,o3,site,latitude,longitude,randoms
o3_sim_140,43.366405,o3_sim_140,40.2452011,-105.7200012,9.18e-05
o3_sim_1,42.820282,o3_sim_1,39.3174019,-104.3799973,1.52e-05
o3_sim_2,37.86646,o3_sim_2,39.3174019,-104.4830017,2.49e-05
o3_sim_3,30.044954,o3_sim_3,39.3174019,-104.5859985,7.64e-05
o3_sim_4,24.55029,o3_sim_4,39.3174019,-104.6900024,4.67e-05
o3_sim_5,29.726608,o3_sim_5,39.3174019,-104.7929993,5.21e-05
o3_sim_6,32.599594,o3_sim_6,39.3174019,-104.8960037,4.35e-05
o3_sim_7,32.674534,o3_sim_7,39.3174019,-104.9990005,3.38e-05
o3_sim_8,24.167051,o3_sim_8,39.3174019,-105.1019974,2.66e-05
o3_sim_9,34.63012,o3_sim_9,39.3174019,-105.2050018,6.83e-05
o3_sim_10,32.312943,o3_sim_10,39.3174019,-105.3079987,5.68e-05
o3_sim_11,43.12134,o3_sim_11,39.3174019,-105.4110031,4.39e-05
o3_sim_12,43.953823,o3_sim_12,39.3174019,-105.5139999,2.09e-05
o3_sim_13,41.258312,o3_sim_13,39.3174019,-105.6169968,7.3e-05
o3_sim_14,44.20278,o3_sim_14,39.3174019,-105.7200012,5.02e-05
o3_sim_15,41.862617,o3_sim_15,39.4205017,-104.3799973,4.74e-05
o3_sim_16,41.09579,o3_sim_16,39.4205017,-104.4830017,1.32e-05
o3_sim_17,33.476295,o3_sim_17,39.4205017,-104.5859985,9.83e-05
o3_sim_18,24.835995,o3_sim_18,39.4205017,-104.6900024,4.51e-05
o3_sim_19,21.49089,o3_sim_19,39.4205017,-104.7929993,9.24e-05
o3_sim_20,22.579576,o3_sim_20,39.4205017,-104.8960037,7.33e-05
o3_sim_21,28.549438,o3_sim_21,39.4205017,-104.9990005,1.85e-05
o3_sim_22,38.98304,o3_sim_22,39.4205017,-105.1019974,8.11e-05
o3_sim_23,35.61251,o3_sim_23,39.4205017,-105.2050018,7.67e-05
o3_sim_24,27.106804,o3_sim_24,39.4205017,-105.3079987,3.64e-05
o3_sim_25,33.6223,o3_sim_25,39.4205017,-105.4110031,1.47e-05
o3_sim_26,32.768673,o3_sim_26,39.4205017,-105.5139999,2.4e-06
o3_sim_27,42.960953,o3_sim_27,39.4205017,-105.6169968,1.38e-05
o3_sim_28,41.760784,o3_sim_28,39.4205017,-105.7200012,2.05e-05
o3_sim_29,39.046753,o3_sim_29,39.5236015,-104.3799973,2.93e-05
o3_sim_30,40.92984,o3_sim_30,39.5236015,-104.4830017,2.8e-06
o3_sim_31,31.879421,o3_sim_31,39.5236015,-104.5859985,9.28e-05
o3_sim_32,34.05488,o3_sim_32,39.5236015,-104.6900024,6.98e-05
o3_sim_33,32.45481,o3_sim_33,39.5236015,-104.7929993,7.73e-05
o3_sim_34,37.42272,o3_sim_34,39.5236015,-104.8960037,8.93e-05
o3_sim_35,28.48413,o3_sim_35,39.5236015,-104.9990005,1.67e-05
o3_sim_36,38.21403,o3_sim_36,39.5236015,-105.1019974,7.39e-05
o3_sim_37,37.522415,o3_sim_37,39.5236015,-105.2050018,9.54e-05
o3_sim_38,40.632137,o3_sim_38,39.5236015,-105.3079987,9.31e-05
o3_sim_39,35.443848,o3_sim_39,39.5236015,-105.4110031,7e-06
o3_sim_40,40.24101,o3_sim_40,39.5236015,-105.5139999,7.62e-05
o3_sim_41,31.619762,o3_sim_41,39.5236015,-105.6169968,8.7e-06
o3_sim_42,33.984863,o3_sim_42,39.5236015,-105.7200012,1.06e-05
o3_sim_43,35.618553,o3_sim_43,39.6265984,-104.3799973,4.47e-05
o3_sim_44,40.046173,o3_sim_44,39.6265984,-104.4830017,5.07e-05
o3_sim_45,37.142242,o3_sim_45,39.6265984,-104.5859985,2.55e-05
o3_sim_46,35.789486,o3_sim_46,39.6265984,-104.6900024,6.51e-05
o3_sim_47,16.521685,o3_sim_47,39.6265984,-104.7929993,8.82e-05
o3_sim_48,14.011574,o3_sim_48,39.6265984,-104.8960037,8.5e-05
o3_sim_49,29.064655,o3_sim_49,39.6265984,-104.9990005,5.75e-05
o3_sim_50,32.886894,o3_sim_50,39.6265984,-105.1019974,1.6e-05
