,hour,missing_site,actual,prediction
0,2023-08-02 06:00:00,Evergreen,19.0,35.754489898682
1,2023-08-02 06:00:00,Evergreen,19.0,38.038764953613
2,2023-08-02 06:00:00,Evergreen,19.0,35.754489898682
3,2023-08-02 06:00:00,Idaho Springs,49.0,37.035846710205
4,2023-08-02 06:00:00,Idaho Springs,49.0,
5,2023-08-02 06:00:00,Idaho Springs,49.0,37.035846710205
6,2023-08-02 06:00:00,Five Points,36.0,31.593955993652
7,2023-08-02 06:00:00,Five Points,36.0,38.877017974854
8,2023-08-02 06:00:00,Five Points,36.0,29.655448913574
9,2023-08-02 06:00:00,Welby,27.0,32.617694854736
10,2023-08-02 06:00:00,Welby,27.0,37.247993469238
11,2023-08-02 06:00:00,Welby,27.0,32.301475524902
12,2023-08-02 06:00:00,Highlands Ranch,42.0,32.64282989502
13,2023-08-02 06:00:00,Highlands Ranch,42.0,37.135047912598
14,2023-08-02 06:00:00,Highlands Ranch,42.0,32.115886688232
15,2023-08-02 06:00:00,Rocky Flats,53.0,36.946262359619
16,2023-08-02 06:00:00,Rocky Flats,53.0,37.39037322998
17,2023-08-02 06:00:00,Rocky Flats,53.0,35.136638641357
18,2023-08-02 06:00:00,Boulder,30.0,38.105361938477
19,2023-08-02 06:00:00,Boulder,30.0,
20,2023-08-02 06:00:00,Boulder,30.0,37.762287139893
21,2023-08-02 06:00:00,Chatfield Reservoir,37.0,36.911979675293
22,2023-08-02 06:00:00,Chatfield Reservoir,37.0,
23,2023-08-02 06:00:00,Chatfield Reservoir,37.0,35.211772918701
24,2023-08-02 06:00:00,Sunnyside,32.0,29.322069168091
25,2023-08-02 06:00:00,Sunnyside,32.0,34.19847869873
26,2023-08-02 06:00:00,Sunnyside,32.0,31.905923843384
27,2023-08-02 06:00:00,East Plains,39.0,33.83224105835
28,2023-08-02 06:00:00,East Plains,39.0,
29,2023-08-02 06:00:00,East Plains,39.0,33.83224105835
30,2023-08-02 06:00:00,South Table,46.0,35.291240692139
31,2023-08-02 06:00:00,South Table,46.0,36.980377197266
32,2023-08-02 06:00:00,South Table,46.0,33.013191223145
33,2023-08-02 07:00:00,Evergreen,18.0,35.10221862793
34,2023-08-02 07:00:00,Evergreen,18.0,37.112361907959
35,2023-08-02 07:00:00,Evergreen,18.0,35.10221862793
36,2023-08-02 07:00:00,Idaho Springs,50.0,36.672142028809
37,2023-08-02 07:00:00,Idaho Springs,50.0,
38,2023-08-02 07:00:00,Idaho Springs,50.0,36.672142028809
39,2023-08-02 07:00:00,Five Points,32.0,29.809289932251
