,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.005947758541466277,0.006701958251383808,0.007145472572877397,0.007427861922113617,0.0076159088235611405,0.007752516982167622,0.8318521859420905,0.787977801697834,0.7617088332342516,0.7455922100111414,0.7357100028262215,0.7292782867843629
1,Chatfield Reservoir,0.005644020918145632,0.006709585071952247,0.007293497549769467,0.007628061430226909,0.0078289625665057,0.007951566252742168,0.8532845745458546,0.7914371276522323,0.7537417401422678,0.7312186358327554,0.7174558529831607,0.7090446457451594
2,East Plains,0.006074589419838036,0.007109249572799877,0.007812543782725308,0.008313555737240725,0.00868618398237867,0.00897688728706249,0.7717700983044666,0.6863358911500401,0.6241344943848396,0.5788699572159248,0.5456484960698433,0.5204991692129293
3,Evergreen,0.006118732311177704,0.007591890380646801,0.008387084283250135,0.0088387118716342,0.009132679694141048,0.00934309684062504,0.8625024750826265,0.7858621239304211,0.7382978614168105,0.7095540678107162,0.6901297748657456,0.6758427773948256
4,Five Points,0.00937935423502484,0.010607299771425728,0.011283207552277803,0.01187210278280861,0.01223501931692158,0.012456824179996698,0.6959060010389104,0.6093793869667645,0.560163399611018,0.5142289133739574,0.48619722760150397,0.46964220056931594
5,Highlands Ranch,0.005584285514256202,0.006350654148078182,0.0067914817281728695,0.007076976657418188,0.007280215845765289,0.0074308237609316055,0.8062066420653667,0.7499842582402321,0.7184959557016191,0.6995956574007436,0.6871901351296859,0.678658819721452
6,Idaho Springs,0.005765091276552071,0.006706896165225803,0.007326097838435794,0.007761278717792026,0.008077419418628454,0.00830796076049143,0.7430733981465103,0.6532572805054946,0.5947310809424214,0.5558010552307139,0.5302470374412243,0.5141638382868629
7,Rocky Flats,0.006608233597428376,0.007845080993694784,0.008718554615195037,0.009405025487150073,0.009970414510911848,0.01045146644866534,0.8374384618750776,0.7706128888240826,0.7199993593927527,0.6792422232464408,0.6457048147109306,0.6175675382280387
8,South Table,0.0054532436234061244,0.0063030828788017985,0.00679591699928577,0.007093277410098139,0.007284252399664221,0.007418368612013948,0.8209042969628123,0.7605183771720402,0.7237689975135795,0.7021212873098774,0.6891894241234158,0.6808578388989002
9,Sunnyside,0.007057170574152612,0.008568312712451218,0.009392731832466167,0.00990132645590099,0.01025704933994918,0.010507439548956497,0.8536751806576651,0.7895469030355419,0.7570338064269926,0.7405804531948004,0.7311557821785677,0.7259015965156342
10,Welby,0.006246918929820084,0.008729765743119738,0.010134823235813769,0.01099148834842974,0.011517166837125645,0.011826909290475543,0.8821795180004871,0.7688798790274923,0.6883118534923112,0.6334920907904648,0.597759788416692,0.5760293318116567
