,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004405042148652132,0.006043418590585065,0.006978979115573149,0.007625308656350253,0.00807837338922763,0.008431621958598376,0.9093984389121231,0.839718259555823,0.7974348453198378,0.7691296687090303,0.7519343673352202,0.7397404781985767
1,Chatfield Reservoir,0.004605621880806287,0.006180284269445272,0.0070513599029574945,0.007576008875698842,0.007923380196360694,0.008157506454829887,0.9007258562439362,0.822926881085455,0.7718174799176498,0.7392360117596732,0.7174259475109861,0.7029837834061963
2,East Plains,0.004473984226243995,0.006140210683044554,0.007131997084306797,0.007816599418176218,0.008321498461632116,0.008709606056449146,0.8707810440514727,0.7591044083902008,0.6783265022029834,0.6179470920766528,0.5723955623917462,0.537158804233969
3,Evergreen,0.004467221051914378,0.00631730156778707,0.0073229474410783256,0.007927481245926793,0.008341217366002678,0.008632570643151077,0.9256983166901882,0.8515221356439111,0.8009859854082155,0.7676116089318836,0.7435310469986152,0.7259586080531755
4,Five Points,0.009245194001005975,0.010924694478906405,0.01102691077301673,0.011695779902965957,0.012156815601887982,0.012416078949183654,0.7039380910101516,0.5881379842633303,0.5819249033288634,0.5334328421608128,0.4994377822128575,0.48099266471685287
5,Highlands Ranch,0.0042456870243696284,0.0059881482311788204,0.006963870338000667,0.007640653097718768,0.008168903294223049,0.008588120504925346,0.8889702636541817,0.7986863406890331,0.749814420313622,0.7186593197512733,0.6951660138207719,0.676844082697212
6,Idaho Springs,0.00420518470345824,0.005651861618596334,0.006467853620536404,0.006992120219998625,0.007330144977831172,0.007539697033334454,0.838052358631125,0.7089339816262555,0.6215500930015858,0.5611678158293688,0.5211900903947952,0.4964399997603455
7,Rocky Flats,0.005772988489860168,0.0079202705169974,0.00932514874395093,0.01039825556761337,0.011275391566246042,0.01199727278381113,0.8778690313906929,0.7810670870280841,0.7067625525843563,0.6449623162071533,0.5921928601729829,0.5481197768467749
8,South Table,0.004579362390208241,0.006085817437062178,0.006980362748385986,0.0075568572401459155,0.00795932831619715,0.008248703271852226,0.8752906750330722,0.7910319293188145,0.7364101997685358,0.7021274723058408,0.6802649746682469,0.6666586017421026
9,Sunnyside,0.005267240743837838,0.007273794311533607,0.008205967510187498,0.008747758933441218,0.009133441674140007,0.009409729326973386,0.9062678347843791,0.8239872100678891,0.7797267086629128,0.7536222203986767,0.7349645981505224,0.7217946600996695
10,Welby,0.005685987405155173,0.008040411032985374,0.009423808517729452,0.01035193103541797,0.011021921714661452,0.011507707409006874,0.9042738833255223,0.8106770830059877,0.7429040312915491,0.6932758038730117,0.6561906427776925,0.6291077849901723
