,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004495974170549016,0.0062875511415874975,0.0073617168025880515,0.008151002378643517,0.008734271784367881,0.009194457502239807,0.907682334642576,0.8365673684372772,0.794824267183319,0.7669920173729408,0.7495628306556836,0.7372375474498203
1,Chatfield Reservoir,0.004840340635014587,0.006728798671644474,0.007913966184828354,0.00874547475105136,0.009370861521959779,0.009858494224371465,0.8993624339056069,0.8220280990324903,0.7725601222380803,0.7415958511967387,0.7215229123584648,0.7083423596297382
2,East Plains,0.00524433004163296,0.007893633613608541,0.009725040766078129,0.011116037623555949,0.012190301692959711,0.013031049879446558,0.8576090376102962,0.7266491693893022,0.6355995738346298,0.5712503733908418,0.5260116345606254,0.4928942009830606
3,Evergreen,0.004528816612672153,0.006484185456590517,0.007591939401909352,0.008279166100835289,0.008771941097058282,0.009145783641559997,0.9243946375208172,0.8471866675967143,0.7939425420959962,0.7592550930837615,0.7346819416561197,0.7169103968781168
4,Five Points,0.009177287322450376,0.01120107152267844,0.012155723780484441,0.013316811317277221,0.014163609713037527,0.014749030667983283,0.7233428267591064,0.6177289680815153,0.5820575415863563,0.5275297973272602,0.49034140889474254,0.46805617860821047
5,Highlands Ranch,0.004314371508434008,0.006195109142387538,0.007318918718567165,0.008157960005476353,0.008846452221012921,0.00941358251844497,0.8863515477437407,0.79431859251321,0.7451186937603547,0.7145588049001868,0.6918341737441398,0.6744703081602552
6,Idaho Springs,0.00434990280156768,0.005960852629343117,0.006898994396424569,0.007540435607088859,0.007987674484837061,0.008304404479983554,0.8292361283258765,0.6919289327238904,0.6060804833240103,0.5502202802950902,0.5151285411182522,0.493787279737941
7,Rocky Flats,0.005789793727849043,0.008048935488573628,0.009558457857750894,0.010740724085020213,0.011696665667385078,0.01247312601112183,0.8733223133237954,0.7650517512130598,0.6802201943633732,0.6099928663855985,0.5531907438888994,0.5085196697846994
8,South Table,0.0047642816392435075,0.006579161922123906,0.007788249785452371,0.00867054215602158,0.009347837947830668,0.009873946018902586,0.8730460422508217,0.7860834271355174,0.7302752356732838,0.69519353929652,0.6726394481823845,0.6585528582093654
9,Sunnyside,0.005362923644644778,0.007523687938070457,0.008585000423210337,0.009259070822547373,0.009758612213919392,0.010123289645507277,0.905342646738256,0.8211483980889888,0.7759653895658101,0.7481432822077528,0.7282661113600881,0.714562927546417
10,Welby,0.006054223389533476,0.009068306785120073,0.011130794868936523,0.012714133347314659,0.01396198528991382,0.01492685995877228,0.9033765505397129,0.8055672663637308,0.7338034141176157,0.6800415491782568,0.639547322440839,0.6103700309078767
