,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004317501433629087,0.005911529539418862,0.006782246096835431,0.007353473573116608,0.007706022503375507,0.007954551520289236,0.9071058358632857,0.8286449336425816,0.7776275041173384,0.7421535555998429,0.7203799660442523,0.7053397078882784
1,Chatfield Reservoir,0.004748127839895139,0.006548500490523382,0.007621718810434279,0.008325818037115861,0.00883888494583496,0.009221915676410253,0.9002498223100642,0.8192357388137465,0.7643888880343928,0.7285565451140107,0.7040653310126451,0.6877066221669117
2,East Plains,0.004540533828715054,0.006414161836346567,0.007633333610546533,0.008542240639301259,0.0092489562035936,0.009816186487770181,0.8735836537332109,0.7643522982464557,0.684872491091739,0.6239791080192331,0.5773822048106413,0.5404602753402067
3,Evergreen,0.0045694292032224465,0.006678412267118321,0.007880564025315664,0.008663469515198313,0.009245523930361797,0.009690940209761276,0.92698757062431,0.8486896738009941,0.7942578011370993,0.7581149946580701,0.73214924202222,0.7135242782777662
4,Five Points,0.011690158783864176,0.012293456478853737,0.011668207404806528,0.012158383467598835,0.012673342540183171,0.013035256622621335,0.5926375961790127,0.523511080768295,0.5556057115587554,0.5213209943044357,0.48826915245158165,0.4672612682753633
5,Highlands Ranch,0.004066144835769093,0.00571890424011278,0.006604778664444607,0.007209227729522788,0.007682688247016383,0.008064052035983541,0.8915867970631967,0.799115588130538,0.7477547766454427,0.7150970185152472,0.6909961205830527,0.6721640323106641
6,Idaho Springs,0.004360552567201323,0.006003226559469786,0.007013294402938222,0.007721908924939427,0.008218037318146128,0.008568650691489413,0.8341158254006235,0.6989749173098511,0.6052493198480258,0.5399917619028488,0.49795680175314794,0.4725442529015784
7,Rocky Flats,0.0056846187327335524,0.007728373158021411,0.009013913777129174,0.009993205640496617,0.010765610858223007,0.011378131900702255,0.8756940383595472,0.7789816836439064,0.7074392362772762,0.647572665802281,0.5983715292295544,0.5587553806588141
8,South Table,0.004584855822814863,0.006161475709743233,0.007127262389151343,0.00776528029592236,0.0082137901281468,0.008534959761683081,0.874516636216491,0.78483728937708,0.7234181613784811,0.6834364827255429,0.6585389874595962,0.644590762856153
9,Sunnyside,0.005287860178273678,0.007309615968517473,0.00820884262693244,0.008713269176407041,0.00907309501093077,0.00931703442401711,0.9067092247486603,0.8244555243903054,0.7818024121934771,0.7571595745331337,0.7393750429274777,0.7274600400749837
10,Welby,0.005642694879722707,0.0080343961930555,0.009414045830459194,0.010329499568686593,0.010993676631702592,0.011472718281072835,0.9073414823542658,0.8155935526283715,0.749948710711262,0.7019417750680657,0.665369625976446,0.6382937922156455
