,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5,BY SITE,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004286299,0.005813182,0.006629934,0.007156742,0.007490591,0.007722321,0.906726107,0.829556194,0.780308334,0.746212275,0.724208699,0.708689764,0,Boulder,0.005947759,0.006701958,0.007145473,0.007427862,0.007615909,0.007752517,0.831852186,0.787977802,0.761708833,0.74559221,0.735710003,0.729278287
1,Chatfield Reservoir,0.004750308,0.006623051,0.00784726,0.008713006,0.009346791,0.009808091,0.899568719,0.817793832,0.759345716,0.719013645,0.690928275,0.672328866,1,Chatfield Reservoir,0.005644021,0.006709585,0.007293498,0.007628061,0.007828963,0.007951566,0.853284575,0.791437128,0.75374174,0.731218636,0.717455853,0.709044646
2,East Plains,0.004436522,0.006041825,0.006963031,0.007588053,0.008031686,0.008361104,0.869615955,0.757399272,0.677149366,0.616417141,0.57072387,0.535552543,2,East Plains,0.006074589,0.00710925,0.007812544,0.008313556,0.008686184,0.008976887,0.771770098,0.686335891,0.624134494,0.578869957,0.545648496,0.520499169
3,Evergreen,0.004664753,0.006767969,0.007975316,0.008808316,0.009452574,0.009961652,0.923057423,0.841450616,0.783621897,0.742103711,0.709976312,0.685251524,3,Evergreen,0.006118732,0.00759189,0.008387084,0.008838712,0.00913268,0.009343097,0.862502475,0.785862124,0.738297861,0.709554068,0.690129775,0.675842777
4,Five Points,0.010263855,0.011851944,0.011291885,0.011897494,0.012461034,0.012833645,0.652587607,0.529614993,0.566895281,0.530702301,0.492578261,0.466954295,4,Five Points,0.009379354,0.0106073,0.011283208,0.011872103,0.012235019,0.012456824,0.695906001,0.609379387,0.5601634,0.514228913,0.486197228,0.469642201
5,Highlands Ranch,0.004092889,0.005801044,0.006778538,0.007445555,0.007945712,0.008323992,0.888424819,0.790811683,0.732277011,0.691874901,0.660100103,0.634881763,5,Highlands Ranch,0.005584286,0.006350654,0.006791482,0.007076977,0.007280216,0.007430824,0.806206642,0.749984258,0.718495956,0.699595657,0.687190135,0.67865882
6,Idaho Springs,0.004281068,0.005792034,0.006654573,0.00721814,0.007588294,0.007818242,0.833761021,0.696905765,0.599899782,0.529955867,0.481963977,0.451794582,6,Idaho Springs,0.005765091,0.006706896,0.007326098,0.007761279,0.008077419,0.008307961,0.743073398,0.653257281,0.594731081,0.555801055,0.530247037,0.514163838
7,Rocky Flats,0.005737755,0.007748794,0.008965125,0.009849684,0.010520201,0.011031637,0.876128811,0.77757748,0.702768272,0.638819536,0.584415423,0.539863829,7,Rocky Flats,0.006608234,0.007845081,0.008718555,0.009405025,0.009970415,0.010451466,0.837438462,0.770612889,0.719999359,0.679242223,0.645704815,0.617567538
8,South Table,0.004507932,0.005990017,0.006860874,0.007393844,0.007726135,0.007931206,0.87175225,0.775056,0.706361634,0.660136256,0.629731128,0.610415058,8,South Table,0.005453244,0.006303083,0.006795917,0.007093277,0.007284252,0.007418369,0.820904297,0.760518377,0.723768998,0.702121287,0.689189424,0.680857839
9,Sunnyside,0.005409192,0.007610244,0.008685366,0.009347258,0.009810335,0.010114496,0.901666645,0.809755477,0.759399029,0.730830803,0.710808132,0.697361995,9,Sunnyside,0.007057171,0.008568313,0.009392732,0.009901326,0.010257049,0.01050744,0.853675181,0.789546903,0.757033806,0.740580453,0.731155782,0.725901597
10,Welby,0.005664723,0.008112482,0.009597531,0.010634536,0.011399827,0.011952849,0.90404283,0.806907967,0.736340149,0.684510044,0.645846469,0.61742758,10,Welby,0.006246919,0.008729766,0.010134823,0.010991488,0.011517167,0.011826909,0.882179518,0.768879879,0.688311853,0.633492091,0.597759788,0.576029332
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIFS,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5,,,,,,,,,,,,,,
,Boulder,-0.00166146,-0.000888776,-0.000515539,-0.00027112,-0.000125318,-3.01963E-05,0.074873921,0.041578392,0.018599501,0.000620065,-0.011501303,-0.020588523,,,,,,,,,,,,,,
,Chatfield Reservoir,-0.000893713,-8.65336E-05,0.000553763,0.001084945,0.001517829,0.001856525,0.046284145,0.026356704,0.005603976,-0.012204991,-0.026527578,-0.03671578,,,,,,,,,,,,,,
,East Plains,-0.001638067,-0.001067425,-0.000849513,-0.000725503,-0.000654498,-0.000615783,0.097845857,0.071063381,0.053014872,0.037547184,0.025075374,0.015053374,,,,,,,,,,,,,,
,Evergreen,-0.00145398,-0.000823921,-0.000411769,-3.03961E-05,0.000319895,0.000618555,0.060554948,0.055588492,0.045324035,0.032549643,0.019846538,0.009408747,,,,,,,,,,,,,,
,Five Points,0.000884501,0.001244644,8.67707E-06,2.53915E-05,0.000226015,0.000376821,-0.043318394,-0.079764394,0.006731881,0.016473388,0.006381034,-0.002687906,,,,,,,,,,,,,,
,Highlands Ranch,-0.001491396,-0.00054961,-1.29438E-05,0.000368578,0.000665497,0.000893168,0.082218177,0.040827425,0.013781055,-0.007720756,-0.027090032,-0.043777056,,,,,,,,,,,,,,
,Idaho Springs,-0.001484023,-0.000914862,-0.000671524,-0.000543139,-0.000489126,-0.000489718,0.090687623,0.043648484,0.005168701,-0.025845188,-0.04828306,-0.062369256,,,,,,,,,,,,,,
,Rocky Flats,-0.000870479,-9.62871E-05,0.000246571,0.000444659,0.000549787,0.000580171,0.038690349,0.006964591,-0.017231087,-0.040422687,-0.061289392,-0.077703709,,,,,,,,,,,,,,
,South Table,-0.000945312,-0.000313066,6.49571E-05,0.000300567,0.000441883,0.000512837,0.050847954,0.014537622,-0.017407363,-0.041985031,-0.059458297,-0.070442781,,,,,,,,,,,,,,
,Sunnyside,-0.001647978,-0.000958068,-0.000707366,-0.000554068,-0.000446714,-0.000392944,0.047991464,0.020208574,0.002365222,-0.00974965,-0.02034765,-0.028539602,,,,,,,,,,,,,,
,Welby,-0.000582196,-0.000617284,-0.000537292,-0.000356952,-0.00011734,0.00012594,0.021863312,0.038028088,0.048028295,0.051017953,0.04808668,0.041398249,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.001071282,-0.000461017,-0.000257453,-2.33671E-05,0.000171628,0.000312307,0.051685396,0.025367033,0.01490719,2.54481E-05,-0.014100699,-0.025178568,,,,,,,,,,,,,,
