Forecast Horizon,1 Hour,,2 Hour,,3 Hour,,4 Hour,,5 Hour,,6 Hour,
,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2
Evergreen,5.04,0.90,7.11,0.80,8.29,0.73,9.03,0.69,9.53,0.66,9.85,0.65
Idaho Springs,3.54,0.88,5.15,0.74,6.03,0.64,6.65,0.57,7.06,0.53,7.34,0.49
Five Points,5.79,0.84,7.89,0.71,8.97,0.64,9.59,0.60,10.04,0.57,10.39,0.54
Welby,5.98,0.90,8.90,0.77,10.64,0.69,11.77,0.63,12.58,0.59,13.17,0.56
Highlands Ranch,3.87,0.89,5.71,0.78,6.67,0.70,7.19,0.66,7.56,0.64,7.83,0.62
Rocky Flats,4.19,0.86,5.80,0.74,6.76,0.65,7.39,0.59,7.85,0.55,8.18,0.52
Boulder,4.48,0.89,6.25,0.79,7.18,0.73,7.76,0.69,8.11,0.66,8.36,0.65
Chatfield Reservoir,4.47,0.90,6.42,0.80,7.47,0.73,8.08,0.69,8.49,0.66,8.79,0.64
Sunnyside,6.09,0.87,8.58,0.75,9.68,0.69,10.29,0.66,10.64,0.64,10.87,0.63
East Plains,3.80,0.87,5.45,0.74,6.35,0.66,6.91,0.60,7.29,0.57,7.56,0.54
South Table,4.20,0.88,5.76,0.78,6.62,0.72,7.13,0.68,7.50,0.65,7.74,0.64
Mean,4.68,0.88,6.64,0.76,7.70,0.69,8.34,0.64,8.78,0.61,9.10,0.59
