Forecast Horizon,1 Hour,,3 Hour,,6 Hour,,9 Hour,,12 Hour,,15 Hour,,18 Hour,,24 Hour,,Mean Aware,,Unaware,
,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2
Evergreen,4.27,0.96,7.14,0.90,8.62,0.84,8.64,0.83,8.88,0.82,8.98,0.82,9.48,0.81,9.24,0.81,8.16,0.85,9.71,0.80
Idaho Springs,3.47,0.94,6.21,0.81,7.20,0.71,7.27,0.70,8.02,0.66,7.90,0.65,8.30,0.64,8.54,0.65,7.11,0.72,8.67,0.60
Five Points,4.79,0.94,7.43,0.86,8.77,0.80,9.40,0.77,9.38,0.77,9.73,0.76,10.10,0.74,10.23,0.73,8.73,0.80,10.89,0.74
Welby,5.01,0.96,8.64,0.88,11.34,0.78,11.85,0.76,11.42,0.78,11.83,0.76,12.11,0.75,12.01,0.76,10.53,0.81,12.93,0.73
Highlands Ranch,3.38,0.96,5.61,0.89,6.60,0.84,6.87,0.82,7.14,0.81,7.41,0.80,8.00,0.77,7.82,0.78,6.60,0.83,8.95,0.73
Rocky Flats,3.80,0.94,6.36,0.84,8.02,0.73,8.29,0.70,8.33,0.71,8.94,0.67,9.17,0.69,9.62,0.66,7.82,0.74,9.62,0.64
Boulder,3.97,0.96,6.16,0.90,7.53,0.85,7.58,0.84,8.17,0.81,8.32,0.81,8.44,0.80,8.41,0.81,7.32,0.84,8.93,0.80
Chatfield Reservoir,4.07,0.96,6.65,0.89,7.41,0.86,7.89,0.84,8.09,0.83,8.25,0.82,8.37,0.82,8.68,0.80,7.43,0.85,9.02,0.79
Sunnyside,4.91,0.96,7.57,0.90,8.90,0.86,9.28,0.85,9.32,0.85,9.69,0.83,10.23,0.81,10.01,0.82,8.74,0.86,11.23,0.80
East Plains,3.53,0.94,5.98,0.83,7.37,0.74,7.75,0.72,8.08,0.70,7.97,0.69,8.26,0.68,8.63,0.67,7.20,0.75,8.89,0.66
South Table,3.87,0.95,5.74,0.89,6.84,0.84,6.99,0.83,7.27,0.81,7.69,0.79,8.00,0.78,7.83,0.80,6.78,0.84,8.70,0.77
Mean,4.10,0.95,6.68,0.87,8.06,0.80,8.35,0.79,8.55,0.78,8.79,0.76,9.13,0.75,9.18,0.75,7.86,0.81,9.78,0.73
