,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon
1981,1981,2023-08-12 05:00:00,47.3757,49.0,47.11547,42.793788,46.552744,48.160393000000006,48.699144,50.101858,51.352702,"39.3174019,-104.3799973",39.3174019,-104.3799973
1981,1981,2023-08-12 05:00:00,46.597846,49.0,46.051603,40.816993000000004,44.350814,45.302667,45.8418,47.0311,48.19412,"39.3174019,-104.4830017",39.3174019,-104.4830017
1981,1981,2023-08-12 05:00:00,46.23777,49.0,45.34229,39.665278,43.102264,43.802186999999996,44.215497,45.1762,46.082005,"39.3174019,-104.5859985",39.3174019,-104.5859985
1981,1981,2023-08-12 05:00:00,45.982389999999995,49.0,44.864748000000006,39.033122000000006,41.984967999999995,42.653006,42.793307000000006,43.644946,44.442344,"39.3174019,-104.6900024",39.3174019,-104.6900024
2261,2261,2023-08-12 05:00:00,46.33278,43.0,44.756517,39.16789,39.496303000000005,41.408565,43.18322,45.996144,46.52051,"39.3174019,-104.7929993",39.3174019,-104.7929993
2261,2261,2023-08-12 05:00:00,46.436567,43.0,45.09404,39.42435,39.66642,41.558065,43.24927,46.133842,46.571895000000005,"39.3174019,-104.8960037",39.3174019,-104.8960037
2261,2261,2023-08-12 05:00:00,51.886424,47.0,46.049807,42.111948000000005,42.457815000000004,44.873983,46.55008,49.04454,49.885146,"39.3174019,-104.9990005",39.3174019,-104.9990005
2261,2261,2023-08-12 05:00:00,50.509825,47.0,41.519824,35.137046,33.25459,34.35062,35.637632,38.323585,38.645342,"39.3174019,-105.1019974",39.3174019,-105.1019974
2261,2261,2023-08-12 05:00:00,50.793209999999995,47.0,42.83072,37.554234,36.565546,38.81814,40.595464,43.671608,44.306256000000005,"39.3174019,-105.2050018",39.3174019,-105.2050018
2110,2110,2023-08-12 05:00:00,47.164943,33.0,32.084416999999995,38.825445,30.08215,32.588616,36.944624000000005,40.348729999999996,40.56737,"39.3174019,-105.3079987",39.3174019,-105.3079987
