,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon
1987,1987,2023-08-12 11:00:00,44.816565000000004,43.0,45.995634,46.585556,48.483048000000004,48.343994,49.25554,48.479065,48.371922,"39.3174019,-104.3799973",39.3174019,-104.3799973
1987,1987,2023-08-12 11:00:00,44.259640000000005,43.0,44.669833,44.600468,45.97763,45.18787,45.67099,44.53255,44.320796,"39.3174019,-104.4830017",39.3174019,-104.4830017
1987,1987,2023-08-12 11:00:00,43.982495,43.0,43.949924,43.52761,44.549044,43.544527,43.85174,42.512063000000005,42.161115,"39.3174019,-104.5859985",39.3174019,-104.5859985
1987,1987,2023-08-12 11:00:00,43.902796,43.0,43.744195,43.228246,44.15876,43.084315999999994,43.344955999999996,41.987173000000006,41.573893,"39.3174019,-104.6900024",39.3174019,-104.6900024
2267,2267,2023-08-12 11:00:00,43.122713,40.0,43.911427,42.868372,42.528335,40.977985000000004,41.787505,43.17612,42.603135,"39.3174019,-104.7929993",39.3174019,-104.7929993
2267,2267,2023-08-12 11:00:00,43.203045,40.0,44.051856,42.952385,42.599052,40.966364999999996,41.698350000000005,43.166436000000004,42.66377,"39.3174019,-104.8960037",39.3174019,-104.8960037
2267,2267,2023-08-12 11:00:00,44.01065,35.0,46.657782000000005,47.91132,49.774635999999994,49.625879999999995,50.56339,53.019486,50.44687,"39.3174019,-104.9990005",39.3174019,-104.9990005
2267,2267,2023-08-12 11:00:00,42.95256,35.0,43.72445,42.934343,42.86511,41.16245,41.074543999999996,42.823119999999996,39.32235,"39.3174019,-105.1019974",39.3174019,-105.1019974
2267,2267,2023-08-12 11:00:00,41.412234,35.0,41.09935,39.59493,39.088402,37.154168,36.65927799999999,38.579375,35.329677,"39.3174019,-105.2050018",39.3174019,-105.2050018
2116,2116,2023-08-12 11:00:00,30.103391,26.0,32.96349,36.665924000000004,38.504187,40.659096,40.95248,47.42205,41.459844000000004,"39.3174019,-105.3079987",39.3174019,-105.3079987
2148,2148,2023-08-12 11:00:00,32.432437,26.0,37.39862,42.718478,45.960800000000006,49.55634,51.25242,59.808213,53.07809,"39.3174019,-105.4110031",39.3174019,-105.4110031
2148,2148,2023-08-12 11:00:00,32.15709,26.0,36.878023000000006,43.205636999999996,47.037333000000004,51.514108,53.495176,62.483906999999995,57.601195000000004,"39.3174019,-105.5139999",39.3174019,-105.5139999
