,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon
1982,1982,2023-08-12 06:00:00,48.741054,47.0,47.155089999999994,46.94426,43.33784,46.53991,47.89817,48.347734,49.530435,"39.3174019,-104.3799973",39.3174019,-104.3799973
1982,1982,2023-08-12 06:00:00,47.916394000000004,47.0,45.48318,45.03795,40.745452,43.686679999999996,44.46577,44.89810000000001,45.850858,"39.3174019,-104.4830017",39.3174019,-104.4830017
1982,1982,2023-08-12 06:00:00,47.573045,47.0,44.737212,44.00312,39.354127000000005,42.211123,42.780227999999994,43.10548,43.848079999999996,"39.3174019,-104.5859985",39.3174019,-104.5859985
1982,1982,2023-08-12 06:00:00,47.520804999999996,47.0,44.510365,43.615833,38.869217,41.332300000000004,41.875567000000004,41.985414999999996,42.635600000000004,"39.3174019,-104.6900024",39.3174019,-104.6900024
2262,2262,2023-08-12 06:00:00,41.84911,40.0,45.120580000000004,43.857433,39.339837,39.61315,41.161722999999995,42.544812,44.717804,"39.3174019,-104.7929993",39.3174019,-104.7929993
2262,2262,2023-08-12 06:00:00,41.643451999999996,40.0,45.074973,43.975648,39.298106,39.503406999999996,41.072610000000005,42.43855,44.77867,"39.3174019,-104.8960037",39.3174019,-104.8960037
2262,2262,2023-08-12 06:00:00,45.914274,44.0,50.852664,46.027433,42.722736,43.022025,45.07989,46.487316,48.60835,"39.3174019,-104.9990005",39.3174019,-104.9990005
2262,2262,2023-08-12 06:00:00,43.822568,44.0,47.703700000000005,40.020276,34.630126999999995,32.94239,33.899013,34.976624,37.185084,"39.3174019,-105.1019974",39.3174019,-105.1019974
2262,2262,2023-08-12 06:00:00,42.987004,44.0,47.256462,40.309940000000005,35.869513,35.00591,36.937796,38.428683,41.020572,"39.3174019,-105.2050018",39.3174019,-105.2050018
2111,2111,2023-08-12 06:00:00,31.65697,31.0,46.040583000000005,33.495013,39.346090000000004,31.306673,33.567491999999994,37.323710000000005,40.19096,"39.3174019,-105.3079987",39.3174019,-105.3079987
2143,2143,2023-08-12 06:00:00,34.28348,31.0,49.290285000000004,38.380537,45.078587000000006,36.302328,37.770256,41.877262,45.76189,"39.3174019,-105.4110031",39.3174019,-105.4110031
2143,2143,2023-08-12 06:00:00,34.918867,31.0,53.399198,44.58128,53.584512000000004,47.131699999999995,49.71698,53.851366,57.171475,"39.3174019,-105.5139999",39.3174019,-105.5139999
2143,2143,2023-08-12 06:00:00,35.913415,31.0,52.104060000000004,45.57188,53.110696,48.932339999999996,51.151402,54.587632,57.12474,"39.3174019,-105.6169968",39.3174019,-105.6169968
2143,2143,2023-08-12 06:00:00,30.747123000000002,31.0,46.947244999999995,33.943960000000004,42.175923,34.350216,35.815567,38.867775,41.770805,"39.3174019,-105.7200012",39.3174019,-105.7200012
1982,1982,2023-08-12 06:00:00,48.49391,47.0,46.661872,46.482056,42.860527000000005,45.62637,46.669256,46.86578,47.69335,"39.4205017,-104.3799973",39.4205017,-104.3799973
1982,1982,2023-08-12 06:00:00,48.495583,47.0,46.865522999999996,46.85125,43.093156,46.005268,46.883184,47.0075,47.609291999999996,"39.4205017,-104.4830017",39.4205017,-104.4830017
1982,1982,2023-08-12 06:00:00,48.088726,47.0,46.08964,45.807146,41.761458000000005,44.642624,45.27839,45.46143,46.09254,"39.4205017,-104.5859985",39.4205017,-104.5859985
1982,1982,2023-08-12 06:00:00,47.774049999999995,47.0,45.391510000000004,44.58454,40.47013,43.215033,43.93535,44.223897,44.98335,"39.4205017,-104.6900024",39.4205017,-104.6900024
2229,2229,2023-08-12 06:00:00,42.719350000000006,40.0,47.122598,46.63796,42.860992,43.582186,45.124378,46.359375,48.579983,"39.4205017,-104.7929993",39.4205017,-104.7929993
2229,2229,2023-08-12 06:00:00,42.290714,40.0,46.356519999999996,45.64973,41.640513,42.258516,44.009417,45.168611999999996,47.963362000000004,"39.4205017,-104.8960037",39.4205017,-104.8960037
2262,2262,2023-08-12 06:00:00,45.973043999999994,44.0,50.786632999999995,46.44684,44.008274,44.7074,46.305697,47.391127999999995,49.334936000000006,"39.4205017,-104.9990005",39.4205017,-104.9990005
2262,2262,2023-08-12 06:00:00,45.70825,44.0,50.402794,44.998866,41.39015,41.36195,43.064806999999995,44.359718,46.450507,"39.4205017,-105.1019974",39.4205017,-105.1019974
2262,2262,2023-08-12 06:00:00,44.76666,44.0,50.074912999999995,44.400204,40.581133,40.463477,42.17553,43.327108,46.284555999999995,"39.4205017,-105.2050018",39.4205017,-105.2050018
2141,2141,2023-08-12 06:00:00,30.511498000000003,31.0,43.631423000000005,31.12374,36.756296,29.856611,31.748520000000003,34.681074,37.423044000000004,"39.4205017,-105.3079987",39.4205017,-105.3079987
2141,2141,2023-08-12 06:00:00,32.30199,31.0,46.945479999999996,35.994377,43.22469,36.183488,38.36215,42.014773999999996,45.220252,"39.4205017,-105.4110031",39.4205017,-105.4110031
2141,2141,2023-08-12 06:00:00,31.279854000000004,31.0,46.457868,34.78069,42.272072,34.499474,36.515735,39.953444,42.817738,"39.4205017,-105.5139999",39.4205017,-105.5139999
2143,2143,2023-08-12 06:00:00,37.774134000000004,31.0,54.40465,48.657157,57.61986,52.69081,55.683296,60.50419,66.15418000000001,"39.4205017,-105.6169968",39.4205017,-105.6169968
2143,2143,2023-08-12 06:00:00,36.19806,31.0,52.93569,45.325134000000006,53.475626,47.554,49.739584,54.692082000000006,60.342307999999996,"39.4205017,-105.7200012",39.4205017,-105.7200012
1865,1865,2023-08-12 06:00:00,48.92752,47.0,47.38908,47.464794999999995,43.755233,46.697919999999996,47.736827000000005,47.80123,48.542120000000004,"39.5236015,-104.3799973",39.5236015,-104.3799973
1865,1865,2023-08-12 06:00:00,48.923663999999995,47.0,47.738053,47.759246,44.441197,47.159510000000004,48.19008,48.38042,49.216654,"39.5236015,-104.4830017",39.5236015,-104.4830017
1865,1865,2023-08-12 06:00:00,48.229106,47.0,46.296727000000004,45.85654,41.951074999999996,44.665485999999994,45.523174,45.66845,46.270770000000006,"39.5236015,-104.5859985",39.5236015,-104.5859985
1982,1982,2023-08-12 06:00:00,48.24432,47.0,46.386536,45.771822,41.837767,44.269484,44.894103,45.08518,45.677856000000006,"39.5236015,-104.6900024",39.5236015,-104.6900024
2137,2137,2023-08-12 06:00:00,42.593602000000004,40.0,47.303196,47.074698,43.28536999999999,43.831877,45.238417000000005,46.323895,48.28728,"39.5236015,-104.7929993",39.5236015,-104.7929993
2229,2229,2023-08-12 06:00:00,43.481484,40.0,48.63583,49.034834,45.61555,46.10268,47.377307,48.3275,50.419236999999995,"39.5236015,-104.8960037",39.5236015,-104.8960037
2229,2229,2023-08-12 06:00:00,42.546194,40.0,47.211456999999996,47.36838,43.65902,44.098459999999996,45.29558,46.25882,48.580103,"39.5236015,-104.9990005",39.5236015,-104.9990005
2229,2229,2023-08-12 06:00:00,46.17073,44.0,51.459596000000005,47.392312,44.979624,45.603815,47.142845,47.934,49.66527,"39.5236015,-105.1019974",39.5236015,-105.1019974
2261,2261,2023-08-12 06:00:00,45.727145,44.0,50.493415,45.582384,42.32022,42.136576000000005,43.549903,45.232788000000006,47.566455,"39.5236015,-105.2050018",39.5236015,-105.2050018
2141,2141,2023-08-12 06:00:00,31.15632,31.0,44.227008,32.22748,37.650723,30.427232,31.657989999999998,34.42162,36.723375000000004,"39.5236015,-105.3079987",39.5236015,-105.3079987
2141,2141,2023-08-12 06:00:00,32.647394000000006,31.0,48.42538,36.902443,44.824332,37.381295,39.300673,42.501815,45.202654,"39.5236015,-105.4110031",39.5236015,-105.4110031
2141,2141,2023-08-12 06:00:00,32.292485,31.0,49.206752,37.893094000000005,46.830065999999995,39.345603,42.11403,47.08608,50.188320000000004,"39.5236015,-105.5139999",39.5236015,-105.5139999
2141,2141,2023-08-12 06:00:00,39.483275,31.0,54.153994,50.751169999999995,57.505198,55.063915,57.812016,62.271018,64.709306,"39.5236015,-105.6169968",39.5236015,-105.6169968
2295,2295,2023-08-12 06:00:00,43.311364999999995,42.0,47.730587,51.12075,52.914176,54.515823999999995,56.08279,55.5553,56.215942,"39.5236015,-105.7200012",39.5236015,-105.7200012
1865,1865,2023-08-12 06:00:00,48.467076999999996,47.0,46.797819999999994,46.782058,42.970420000000004,45.744963,46.735079999999996,46.879776,48.03642000000001,"39.6265984,-104.3799973",39.6265984,-104.3799973
1865,1865,2023-08-12 06:00:00,49.14549,47.0,47.89824,48.22181,44.744640000000004,47.623295000000006,48.595600000000005,48.761856,49.8763,"39.6265984,-104.4830017",39.6265984,-104.4830017
1865,1865,2023-08-12 06:00:00,48.543897,47.0,46.95838,46.885896,42.943478,45.63019,46.720172999999996,46.97593,47.85955,"39.6265984,-104.5859985",39.6265984,-104.5859985
1865,1865,2023-08-12 06:00:00,49.00276,47.0,47.601853,47.74991,44.35282,46.861462,47.761858,47.89452,48.750445000000006,"39.6265984,-104.6900024",39.6265984,-104.6900024
