,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon,o_site
2289,2289.0,2023-08-12,55.870093000000004,56.0,54.188449999999996,72.702415,61.84709,62.60317,65.11742600000001,67.94663,72.72069,"40.0390015,-105.1019974",40.0390015,-105.1019974,Boulder
2289,2289.0,2023-08-12,55.793934,56.0,53.597745,69.56886499999999,59.948005,60.51723,62.67667,64.96772,68.965025,"40.0390015,-105.2050018",40.0390015,-105.2050018,Boulder
2289,2289.0,2023-08-12,55.784576,56.0,56.38753,66.07546,59.27219,59.881046,62.26785,64.3191,66.905394,"40.0390015,-105.3079987",40.0390015,-105.3079987,Boulder
2289,2289.0,2023-08-12,57.807248,56.0,59.139486,69.8119,60.075894,60.762756,62.63025999999999,63.468529999999994,64.17488,"40.0390015,-105.4110031",40.0390015,-105.4110031,Boulder
2281,2281.0,2023-08-12,54.20283,56.0,52.885313000000004,67.29224,56.485895,57.05653,59.171427,61.76413,67.29531,"40.1421013,-104.9990005",40.1421013,-104.9990005,Boulder
2281,2281.0,2023-08-12,54.857545,56.0,52.296914,68.64062,57.418056,57.754606,59.877347,61.919868,66.90655,"40.1421013,-105.1019974",40.1421013,-105.1019974,Boulder
2281,2281.0,2023-08-12,56.37604,56.0,55.07143,65.36664999999999,56.358878000000004,57.116315,59.163340000000005,61.188158,64.73267000000001,"40.1421013,-105.2050018",40.1421013,-105.2050018,Boulder
2281,2281.0,2023-08-12,57.30054,56.0,56.147583,64.22246,56.225676,57.08411,58.7853,60.253084,62.27998,"40.1421013,-105.3079987",40.1421013,-105.3079987,Boulder
2289,2289.0,2023-08-12,58.236428,56.0,59.567183,70.134215,61.152674,61.566606,62.93230499999999,63.30341000000001,64.15429999999999,"40.1421013,-105.4110031",40.1421013,-105.4110031,Boulder
2289,2289.0,2023-08-12,59.296727,56.0,61.548486,75.44678400000001,65.63426,66.356614,67.47658600000001,67.24798999999999,67.23492,"40.1421013,-105.5139999",40.1421013,-105.5139999,Boulder
2121,2121.0,2023-08-12,54.411497000000004,56.0,51.821984,71.082845,57.68541,57.82584000000001,59.567187000000004,62.205616,68.164654,"40.2452011,-104.8960037",40.2452011,-104.8960037,Boulder
2281,2281.0,2023-08-12,54.522220000000004,56.0,50.529264,68.34746,56.260011999999996,56.352776,58.01257,59.432081999999994,63.481145000000005,"40.2452011,-104.9990005",40.2452011,-104.9990005,Boulder
2281,2281.0,2023-08-12,55.646967,56.0,53.038713,65.34073,55.932704,56.35985,58.29077,59.91925,63.35821,"40.2452011,-105.1019974",40.2452011,-105.1019974,Boulder
2281,2281.0,2023-08-12,56.76414,56.0,55.282626,65.14658,58.166936,59.435897000000004,61.855894,63.726169999999996,66.49802000000001,"40.2452011,-105.2050018",40.2452011,-105.2050018,Boulder
2281,2281.0,2023-08-12,56.743197,56.0,56.557297999999996,64.61168,57.344817,58.62833,60.909744,62.88573,65.524,"40.2452011,-105.3079987",40.2452011,-105.3079987,Boulder
2281,2281.0,2023-08-12,58.703005000000005,56.0,59.310745,70.274256,62.106855,63.161060000000006,65.54033600000001,67.062184,68.82919,"40.2452011,-105.4110031",40.2452011,-105.4110031,Boulder
2281,2281.0,2023-08-12,58.034264,56.0,60.338392999999996,73.0213,63.04916000000001,63.423359999999995,64.640105,64.33603000000001,63.97108,"40.2452011,-105.5139999",40.2452011,-105.5139999,Boulder
2281,2281.0,2023-08-12,56.372896,56.0,56.459643,63.276194,57.099413,57.2639,59.258483,60.6826,61.8577,"40.2452011,-105.6169968",40.2452011,-105.6169968,Boulder
