,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon,o_site
1976,1976.0,2023-08-12,54.560952,53.0,59.219766,62.526689999999995,63.57723,66.78873,68.98747399999999,70.86275,72.58041,"39.3174019,-104.3799973",39.3174019,-104.3799973,East Plains
1976,1976.0,2023-08-12,54.536995,53.0,58.455180000000006,61.544219999999996,62.441221999999996,65.356,67.32516,69.07526999999999,70.69593,"39.3174019,-104.4830017",39.3174019,-104.4830017,East Plains
1976,1976.0,2023-08-12,54.253783,53.0,57.651617,60.305424,60.893696,63.52365999999999,65.229,66.67948999999999,68.11362,"39.3174019,-104.5859985",39.3174019,-104.5859985,East Plains
1976,1976.0,2023-08-12,53.44745,53.0,56.672767,59.19198299999999,59.457615,62.01769,63.73098000000001,65.16793999999999,66.55855,"39.3174019,-104.6900024",39.3174019,-104.6900024,East Plains
1976,1976.0,2023-08-12,53.83189,53.0,57.821378,60.99629,62.028527,64.89374000000001,66.80792600000001,68.552256,70.28645999999999,"39.4205017,-104.3799973",39.4205017,-104.3799973,East Plains
1976,1976.0,2023-08-12,53.524062,53.0,56.46102,58.814958,59.337742999999996,61.79943,63.491985,64.92687,66.33045999999999,"39.4205017,-104.4830017",39.4205017,-104.4830017,East Plains
1976,1976.0,2023-08-12,53.795435000000005,53.0,56.916464,59.492476,60.06776,62.58387999999999,64.17533999999999,65.43687,66.80405,"39.4205017,-104.5859985",39.4205017,-104.5859985,East Plains
1976,1976.0,2023-08-12,54.198403,53.0,57.727396,60.962755,61.540987,64.11518,65.9873,67.670465,69.371805,"39.4205017,-104.6900024",39.4205017,-104.6900024,East Plains
1859,1859.0,2023-08-12,53.26495,53.0,56.656647,59.423305,60.269467999999996,62.85334400000001,64.55704,66.16305,68.02118999999999,"39.5236015,-104.3799973",39.5236015,-104.3799973,East Plains
1859,1859.0,2023-08-12,53.823285,53.0,57.777375,60.76385,61.59346,64.12510999999999,65.784216,67.23759,68.85755999999999,"39.5236015,-104.4830017",39.5236015,-104.4830017,East Plains
1859,1859.0,2023-08-12,53.651195,53.0,56.6367,58.67697999999999,58.810208,60.90959,62.34062,63.67577000000001,65.05938,"39.5236015,-104.5859985",39.5236015,-104.5859985,East Plains
1976,1976.0,2023-08-12,53.91713,53.0,57.107291999999994,59.574544,59.68413,61.93002,63.479839999999996,64.86699,66.25175499999999,"39.5236015,-104.6900024",39.5236015,-104.6900024,East Plains
1859,1859.0,2023-08-12,53.570822,53.0,58.671960000000006,63.58087,64.36790500000001,67.26846,69.08854000000001,70.71471,72.915435,"39.6265984,-104.3799973",39.6265984,-104.3799973,East Plains
