,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon,o_site
2105,2105.0,2023-08-12,43.014283999999996,31.0,51.8052,52.297216,53.67904,55.506992999999994,53.014707,51.413197000000004,50.748954999999995,"39.3174019,-105.3079987",39.3174019,-105.3079987,Evergreen
2137,2137.0,2023-08-12,43.531638,31.0,55.088706,57.30676,59.458956,58.855932,57.80031,54.11212,51.953554,"39.3174019,-105.4110031",39.3174019,-105.4110031,Evergreen
2137,2137.0,2023-08-12,44.335272,31.0,54.803383,56.34938,57.129044,59.90628,58.08187,55.85007,55.117793,"39.3174019,-105.5139999",39.3174019,-105.5139999,Evergreen
2137,2137.0,2023-08-12,43.634627,31.0,52.089195999999994,53.76682,54.86858599999999,57.13037,55.724650000000004,53.785164,53.084172,"39.3174019,-105.6169968",39.3174019,-105.6169968,Evergreen
2137,2137.0,2023-08-12,42.16698,31.0,53.099953,55.356856,57.167746,60.02557,59.40854,57.621463999999996,57.310443,"39.3174019,-105.7200012",39.3174019,-105.7200012,Evergreen
2135,2135.0,2023-08-12,42.64702,31.0,54.15394,56.379847,58.67597,62.19634,62.150276999999996,60.69995,61.01861,"39.4205017,-105.3079987",39.4205017,-105.3079987,Evergreen
2135,2135.0,2023-08-12,43.35354,31.0,53.74043399999999,54.948945,55.574134,59.170906,58.440167,56.022502,55.89459,"39.4205017,-105.4110031",39.4205017,-105.4110031,Evergreen
2135,2135.0,2023-08-12,42.84371,31.0,53.140856,54.717902,57.009794,61.004248,59.669565,56.55267,55.968825,"39.4205017,-105.5139999",39.4205017,-105.5139999,Evergreen
2137,2137.0,2023-08-12,45.109660000000005,31.0,58.76784,54.459825,56.85418,60.28071,59.305623000000004,56.736365,55.936843,"39.4205017,-105.6169968",39.4205017,-105.6169968,Evergreen
2137,2137.0,2023-08-12,47.21048,31.0,62.483948,64.64631,67.614496,71.37463,69.668286,65.581664,64.69266999999999,"39.4205017,-105.7200012",39.4205017,-105.7200012,Evergreen
2135,2135.0,2023-08-12,43.060012,31.0,54.652788,56.374155,58.228746,60.233540000000005,58.178596,56.07508,55.997733000000004,"39.5236015,-105.3079987",39.5236015,-105.3079987,Evergreen
2135,2135.0,2023-08-12,41.884616,31.0,52.50278,53.91975,55.03967,55.26672,53.00741,50.608599999999996,49.79015,"39.5236015,-105.4110031",39.5236015,-105.4110031,Evergreen
2135,2135.0,2023-08-12,43.352097,31.0,50.79951500000001,48.486754,49.711768000000006,51.329319999999996,49.482863,47.284335,46.718583,"39.5236015,-105.5139999",39.5236015,-105.5139999,Evergreen
2135,2135.0,2023-08-12,46.80027,31.0,53.75786,52.16408,54.61084,58.110915,57.483193,55.824075,55.572838,"39.5236015,-105.6169968",39.5236015,-105.6169968,Evergreen
2135,2135.0,2023-08-12,42.90621,31.0,52.746642,54.952,56.92217,60.158080000000005,58.88848,56.485519999999994,56.868516,"39.6265984,-105.3079987",39.6265984,-105.3079987,Evergreen
2135,2135.0,2023-08-12,43.432582,31.0,51.301390000000005,53.281374,56.1552,60.639717000000005,60.595524,58.533832000000004,58.70859,"39.6265984,-105.4110031",39.6265984,-105.4110031,Evergreen
2051,2051.0,2023-08-12,45.579206,31.0,56.937274,58.818836,61.55641,65.56679,65.71299599999999,63.380759999999995,63.77268,"39.7296982,-105.3079987",39.7296982,-105.3079987,Evergreen
