,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon,o_site
2256,2256.0,2023-08-12,50.335377,44.0,60.134932,61.55973,59.545077,62.749219999999994,61.548546,63.3838,64.51744,"39.3174019,-104.7929993",39.3174019,-104.7929993,Highlands Ranch
2256,2256.0,2023-08-12,49.70458,44.0,59.305903,60.44688,58.47334,61.521437,60.457617,62.29609,63.457910000000005,"39.3174019,-104.8960037",39.3174019,-104.8960037,Highlands Ranch
2223,2223.0,2023-08-12,50.407256999999994,44.0,61.102085,63.638836000000005,62.02614,65.4883,64.40585,66.548154,68.12046500000001,"39.4205017,-104.7929993",39.4205017,-104.7929993,Highlands Ranch
2223,2223.0,2023-08-12,49.159028,44.0,61.069705,63.87477,61.63337,65.11176400000001,64.008996,66.1996,67.88278,"39.4205017,-104.8960037",39.4205017,-104.8960037,Highlands Ranch
2131,2131.0,2023-08-12,50.06549,44.0,59.991635,62.73937,61.088685,64.58419,63.78747499999999,65.97140399999999,67.72616,"39.5236015,-104.7929993",39.5236015,-104.7929993,Highlands Ranch
2223,2223.0,2023-08-12,49.47945,44.0,60.894918,64.045705,62.560900000000004,65.86456,64.56952000000001,66.66674,68.18342,"39.5236015,-104.8960037",39.5236015,-104.8960037,Highlands Ranch
2223,2223.0,2023-08-12,49.22751,44.0,60.866352,63.11913,60.99879,63.97311,62.829814999999996,64.908974,66.564254,"39.5236015,-104.9990005",39.5236015,-104.9990005,Highlands Ranch
2014,2014.0,2023-08-12,49.605709999999995,44.0,60.212590000000006,64.09156,63.061130000000006,66.47709,65.18417,67.211255,68.92083000000001,"39.6265984,-104.7929993",39.6265984,-104.7929993,Highlands Ranch
1804,1804.0,2023-08-12,49.149733,44.0,59.260715,62.73069,61.943356,65.50384,64.39702,66.64309999999999,68.50206,"39.6265984,-104.8960037",39.6265984,-104.8960037,Highlands Ranch
2106,2106.0,2023-08-12,47.896415,44.0,58.278009999999995,61.00388,59.225474,62.13177,60.632568,62.71953,64.98980999999999,"39.6265984,-104.9990005",39.6265984,-104.9990005,Highlands Ranch
