,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,preds_6_Five Points,preds_7_Five Points,site_name,lat,lon
0,2023-05-02 07:00:00+00:00,0.027277624,0.036,0.030544836,0.027325442,0.028387386,0.032308314,0.032436326,0.032128885,0.032577015,Five Points,39.751184,-104.987625
1,2023-05-02 08:00:00+00:00,0.034097593,0.028,0.0269889,0.029937865,0.026842328,0.027789917,0.031237034,0.03135475,0.031057948,Five Points,39.751184,-104.987625
2,2023-05-02 09:00:00+00:00,0.027145274,0.029000000000000005,0.032220177,0.025453895,0.028341243,0.025464574,0.02628014,0.029495452,0.02961831,Five Points,39.751184,-104.987625
3,2023-05-02 10:00:00+00:00,0.027316658,0.03,0.025719756,0.030674709,0.023986815,0.02661062,0.024034051,0.024770169,0.027978027,Five Points,39.751184,-104.987625
4,2023-05-02 11:00:00+00:00,0.026190128,0.031000000000000003,0.023711948,0.022333235,0.026967343,0.020924771,0.02318877,0.020892285,0.021597112,Five Points,39.751184,-104.987625
5,2023-05-02 12:00:00+00:00,0.025062142,0.025,0.020883068,0.018963857,0.017792046,0.021675244,0.016775208,0.018559301,0.016691227,Five Points,39.751184,-104.987625
6,2023-05-02 13:00:00+00:00,0.024472158,0.024,0.024520015,0.021557111,0.020127343,0.019308345,0.022079188,0.018454146,0.0198497,Five Points,39.751184,-104.987625
7,2023-05-02 14:00:00+00:00,0.028204838,0.025,0.02858759,0.02861895,0.026868833,0.026006468,0.025492808,0.027364565,0.024640074,Five Points,39.751184,-104.987625
8,2023-05-02 15:00:00+00:00,0.030874843,0.028,0.03386215,0.03411276,0.034131162,0.032874055,0.03218296,0.031732816,0.033480413,Five Points,39.751184,-104.987625
9,2023-05-02 16:00:00+00:00,0.03347287,0.031000000000000003,0.03646153,0.038635917,0.03880464,0.03881855,0.037829854,0.037274778,0.036890537,Five Points,39.751184,-104.987625
10,2023-05-02 17:00:00+00:00,0.035893667,0.035,0.038623944,0.041022893,0.042639926,0.04276719,0.042777266,0.042106222,0.041730918,Five Points,39.751184,-104.987625
11,2023-05-02 18:00:00+00:00,0.039014082,0.038,0.03996477,0.042318676,0.044286057,0.045586813,0.045686252,0.045693528,0.045239057,Five Points,39.751184,-104.987625
12,2023-05-02 19:00:00+00:00,0.04105661,0.045,0.04198034,0.0427702,0.04466277,0.046183206,0.047155228,0.047227286,0.047232278,Five Points,39.751184,-104.987625
13,2023-05-02 20:00:00+00:00,0.045929823,0.05,0.04279944,0.043563474,0.044189505,0.04564455,0.04676037,0.047447775,0.047498003,Five Points,39.751184,-104.987625
14,2023-05-02 21:00:00+00:00,0.050113656,0.054,0.047034465,0.044356864,0.044956274,0.045433126,0.04645971,0.047179077,0.047601026,Five Points,39.751184,-104.987625
15,2023-05-02 22:00:00+00:00,0.051141664,0.045,0.047650583,0.044715863,0.042633712,0.04306735,0.04337931,0.043998886,0.044435356,Five Points,39.751184,-104.987625
16,2023-05-02 23:00:00+00:00,0.042751122,0.046,0.048634835,0.04511351,0.0427265,0.04117357,0.041469093,0.041668672,0.042077858,Five Points,39.751184,-104.987625
17,2023-05-03 00:00:00+00:00,0.04312866,0.051,0.040157776,0.046022933,0.04290504,0.041088846,0.040045854,0.04024114,0.040389337,Five Points,39.751184,-104.987625
18,2023-05-03 01:00:00+00:00,0.04753562,0.05,0.042155653,0.03995388,0.04384696,0.041811574,0.04070316,0.039951093,0.040130783,Five Points,39.751184,-104.987625
19,2023-05-03 02:00:00+00:00,0.04551454,0.048,0.043865204,0.039531942,0.038241137,0.040546156,0.03920768,0.037934147,0.036664758,Five Points,39.751184,-104.987625
20,2023-05-03 03:00:00+00:00,0.04242336,0.045,0.040635686,0.039168637,0.036147684,0.03487752,0.03742174,0.035776023,0.03399883,Five Points,39.751184,-104.987625
21,2023-05-03 04:00:00+00:00,0.03893089,0.04,0.036784068,0.03511104,0.033920746,0.03109812,0.029868562,0.03281246,0.030698204,Five Points,39.751184,-104.987625
22,2023-05-03 05:00:00+00:00,0.033652127,0.037,0.03270609,0.030746315,0.029371133,0.028422013,0.026265478,0.025192676,0.028259797,Five Points,39.751184,-104.987625
23,2023-05-03 06:00:00+00:00,0.03238815,0.036,0.029491536,0.028716883,0.027349513,0.026550267,0.026027946,0.024486158,0.023457542,Five Points,39.751184,-104.987625
24,2023-05-03 07:00:00+00:00,0.033344064,0.034,0.030365776,0.028183036,0.027719777,0.027037647,0.026657496,0.026321264,0.0248323,Five Points,39.751184,-104.987625
25,2023-05-03 08:00:00+00:00,0.032042824,0.036,0.031512577,0.029216688,0.027887037,0.02763016,0.02720055,0.026859313,0.02646928,Five Points,39.751184,-104.987625
26,2023-05-03 09:00:00+00:00,0.03472267,0.027,0.031388264,0.030973654,0.029427547,0.028554562,0.02835541,0.027921315,0.027498607,Five Points,39.751184,-104.987625
27,2023-05-03 10:00:00+00:00,0.0265052,0.024,0.033213653,0.030383958,0.030072786,0.028902946,0.028157454,0.027948678,0.027417203,Five Points,39.751184,-104.987625
28,2023-05-03 11:00:00+00:00,0.022864703,0.006,0.025046585,0.030589467,0.028217483,0.02796576,0.026970377,0.026245328,0.026009733,Five Points,39.751184,-104.987625
29,2023-05-03 12:00:00+00:00,0.00936935,0.005,0.020866727,0.022424111,0.026980491,0.024975082,0.024758881,0.023844885,0.023112606,Five Points,39.751184,-104.987625
30,2023-05-03 13:00:00+00:00,0.012840044,0.01,0.015502402,0.020680401,0.021813897,0.025251674,0.023653986,0.023476223,0.022679422,Five Points,39.751184,-104.987625
