,date,preds_0_South Table,actual,preds_1_South Table,preds_2_South Table,preds_3_South Table,preds_4_South Table,preds_5_South Table,preds_6_South Table,preds_7_South Table,site_name,lat,lon
0,2023-05-02 07:00:00+00:00,0.044883613,0.038,0.04309589,0.042259872,0.041869845,0.04152452,0.041402422,0.041279897,0.041470684,South Table,39.743724,-105.177989
1,2023-05-02 08:00:00+00:00,0.037533063,0.039,0.043493968,0.042157,0.04147864,0.041152,0.04086283,0.04075785,0.040646497,South Table,39.743724,-105.177989
2,2023-05-02 09:00:00+00:00,0.03888232,0.037,0.037681673,0.041933797,0.040819846,0.04023157,0.03994534,0.039682146,0.03957971,South Table,39.743724,-105.177989
3,2023-05-02 10:00:00+00:00,0.036111154,0.034,0.037754055,0.03687401,0.04058762,0.039588686,0.039059345,0.038796354,0.038543742,South Table,39.743724,-105.177989
4,2023-05-02 11:00:00+00:00,0.033018388,0.033,0.03486981,0.036076017,0.035281662,0.038661193,0.037768807,0.037299875,0.03706181,South Table,39.743724,-105.177989
5,2023-05-02 12:00:00+00:00,0.03237152,0.033,0.03238748,0.03364129,0.034680206,0.03400789,0.0368045,0.036054272,0.0356577,South Table,39.743724,-105.177989
6,2023-05-02 13:00:00+00:00,0.03240525,0.04,0.0318683,0.03187844,0.03288853,0.0337161,0.033203464,0.035402026,0.03478278,South Table,39.743724,-105.177989
7,2023-05-02 14:00:00+00:00,0.04066922,0.04,0.034112964,0.033802394,0.033809118,0.034486767,0.03505478,0.034681194,0.03638153,South Table,39.743724,-105.177989
8,2023-05-02 15:00:00+00:00,0.04091764,0.039,0.041503046,0.03757769,0.037403606,0.037407745,0.03786742,0.038295977,0.037988313,South Table,39.743724,-105.177989
9,2023-05-02 16:00:00+00:00,0.04183237,0.041,0.043628346,0.044010676,0.04166659,0.041551583,0.041554756,0.041954443,0.042339366,South Table,39.743724,-105.177989
10,2023-05-02 17:00:00+00:00,0.04586176,0.044,0.046749715,0.048002765,0.048243456,0.046632346,0.046536233,0.046539146,0.046914734,South Table,39.743724,-105.177989
11,2023-05-02 18:00:00+00:00,0.047596868,0.045,0.049775027,0.05048045,0.051397793,0.05156623,0.050384257,0.050301682,0.05030438,South Table,39.743724,-105.177989
12,2023-05-02 19:00:00+00:00,0.047147106,0.052,0.050127108,0.05191089,0.05245436,0.053080186,0.053182006,0.052383937,0.052313045,South Table,39.743724,-105.177989
13,2023-05-02 20:00:00+00:00,0.053790893,0.05800000000000001,0.048626903,0.05105786,0.052476626,0.05287504,0.05328248,0.05334621,0.052709375,South Table,39.743724,-105.177989
14,2023-05-02 21:00:00+00:00,0.0590754,0.056999999999999995,0.053983945,0.049337678,0.051416602,0.052568715,0.052876774,0.053186733,0.05324018,South Table,39.743724,-105.177989
15,2023-05-02 22:00:00+00:00,0.05532362,0.054,0.057811905,0.053551313,0.049927156,0.051542792,0.052402586,0.052627582,0.052859187,South Table,39.743724,-105.177989
16,2023-05-02 23:00:00+00:00,0.0521033,0.053,0.053544518,0.05555552,0.052328464,0.049504723,0.050772592,0.051439214,0.051616408,South Table,39.743724,-105.177989
17,2023-05-03 00:00:00+00:00,0.051615875,0.051,0.050709795,0.051790968,0.05319732,0.050813563,0.04863471,0.049600992,0.050117698,South Table,39.743724,-105.177989
18,2023-05-03 01:00:00+00:00,0.047945328,0.051,0.048491124,0.047860574,0.048599094,0.04959408,0.047876157,0.046318457,0.047004122,South Table,39.743724,-105.177989
19,2023-05-03 02:00:00+00:00,0.047636904,0.051,0.044820547,0.04519434,0.044762667,0.045328796,0.046108045,0.044781487,0.04357216,South Table,39.743724,-105.177989
20,2023-05-03 03:00:00+00:00,0.047050897,0.05,0.043716926,0.041780673,0.04204714,0.04169587,0.04214086,0.042754665,0.041633494,South Table,39.743724,-105.177989
21,2023-05-03 04:00:00+00:00,0.046264216,0.047,0.043297466,0.040981177,0.039544847,0.039772134,0.03947821,0.039873656,0.04049032,South Table,39.743724,-105.177989
22,2023-05-03 05:00:00+00:00,0.044020914,0.046,0.04327816,0.04112877,0.039350543,0.038070064,0.038283184,0.037976425,0.03843585,South Table,39.743724,-105.177989
23,2023-05-03 06:00:00+00:00,0.044610232,0.046,0.042658053,0.042107906,0.04041122,0.038855202,0.037685603,0.037892543,0.037574597,South Table,39.743724,-105.177989
24,2023-05-03 07:00:00+00:00,0.044819266,0.037,0.04344976,0.041935615,0.041472845,0.039948158,0.03850375,0.0373724,0.03758205,South Table,39.743724,-105.177989
25,2023-05-03 08:00:00+00:00,0.03667598,0.046,0.04364534,0.042558093,0.04125334,0.04084042,0.039485335,0.03819048,0.037144657,South Table,39.743724,-105.177989
26,2023-05-03 09:00:00+00:00,0.04625525,0.046,0.037903804,0.043037184,0.04211748,0.04098832,0.04063386,0.03946088,0.038297128,South Table,39.743724,-105.177989
